"tipo_aeroplano","aeroporto"
"777","'BRT'"
"767","'TBP'"
"CRJ100","'AAY'"
"747","'UUN'"
"767","'RIW'"
"777","'CRE'"
"707","'UBT'"
"707","'JBQ'"
"707","'SLK'"
"767","'LDS'"
"ERJ145","'VEL'"
"727","'YAI'"
"MD80","'REL'"
"707","'NTT'"
"CRJ700","'PDK'"
"MD80","'DNA'"
"A332","'ZJN'"
"A319","'BQA'"
"190","'MVL'"
"767","'FEG'"
"CRJ700","'ZEM'"
"767","'NGZ'"
"727","'LBI'"
"767","'TMM'"
"727","'ENH'"
"747","'SSF'"
"CRJ700","'FJR'"
"CRJ100","'KEY'"
"A320","'FSC'"
"MD80","'URO'"
"787","'IKK'"
"707","'BWO'"
"727","'TRQ'"
"A332","'VTB'"
"A332","'OAA'"
"ERJ145","'SJE'"
"727","'BDD'"
"CRJ100","'PHK'"
"777","'MLS'"
"727","'XJD'"
"747","'LYU'"
"MD80","'YGT'"
"777","'PVK'"
"CRJ440","'WSY'"
"CRJ440","'PKX'"
"CRJ440","'MKC'"
"757","'XCZ'"
"787","'ORF'"
"CRJ100","'BVY'"
"170","'KMX'"
"757","'PRA'"
"A321","'NSK'"
"727","'LYH'"
"170","'YPL'"
"757","'LPC'"
"737","'NKM'"
"767","'TCC'"
"190","'AKO'"
"707","'POE'"
"MD80","'IMM'"
"MD80","'KZS'"
"707","'KDY'"
"A332","'QQT'"
"767","'BOU'"
"190","'TKV'"
"190","'GDZ'"
"777","'TNH'"
"787","'SEF'"
"CRJ440","'SOF'"
"A332","'RGK'"
"767","'LED'"
"CRJ440","'CIP'"
"727","'KGY'"
"A332","'ABD'"
"ERJ145","'UMS'"
"767","'AIR'"
"190","'RJL'"
"MD80","'MNJ'"
"A321","'YZH'"
"757","'AHE'"
"A321","'SDM'"
"A319","'GSE'"
"707","'MFJ'"
"747","'YUY'"
"787","'WPR'"
"170","'LRV'"
"170","'ELF'"
"727","'ZMG'"
"727","'OKR'"
"ERJ145","'LJU'"
"A319","'HNH'"
"170","'STN'"
"170","'SKN'"
"747","'YJT'"
"737","'PHF'"
"A320","'OKC'"
"737","'BEG'"
"757","'ZAL'"
"A319","'LGO'"
"707","'SOB'"
"787","'PEV'"
"727","'MHQ'"
"CRJ700","'NNG'"
"A320","'SHN'"
"A332","'PBL'"
"A332","'YJT'"
"170","'DTB'"
"727","'KRT'"
"A320","'JNN'"
"727","'MAY'"
"A320","'POL'"
"CRJ700","'AVL'"
"190","'FEL'"
"777","'INW'"
"CRJ440","'ECH'"
"737","'BVG'"
"ERJ145","'GZO'"
"A319","'TOL'"
"757","'BIK'"
"ERJ145","'KRO'"
"CRJ100","'KLO'"
"747","'YLW'"
"ERJ145","'CCZ'"
"A320","'BOI'"
"A332","'KAR'"
"CRJ440","'KMJ'"
"777","'PXR'"
"777","'TQD'"
"CRJ700","'SOD'"
"A332","'ZHI'"
"CRJ100","'GSE'"
"777","'YZU'"
"727","'YCE'"
"ERJ145","'TDX'"
"707","'NOU'"
"A320","'AUY'"
"MD80","'POC'"
"CRJ100","'CTA'"
"A332","'YAC'"
"ERJ145","'RDC'"
"757","'FUG'"
"ERJ145","'BRM'"
"190","'SGY'"
"707","'YSU'"
"A319","'DEL'"
"CRJ100","'BNM'"
"767","'NGF'"
"787","'SSJ'"
"757","'AGU'"
"787","'DTA'"
"707","'PUD'"
"737","'SDG'"
"CRJ700","'XGR'"
"A321","'POE'"
"A320","'GKN'"
"777","'MYD'"
"757","'KCS'"
"767","'PQC'"
"777","'DEB'"
"707","'WMR'"
"787","'BOU'"
"777","'GOH'"
"MD80","'YBL'"
"707","'LLI'"
"A320","'GRP'"
"787","'FLL'"
"ERJ145","'PZO'"
"170","'XKS'"
"757","'BOC'"
"MD80","'FKL'"
"CRJ700","'SSY'"
"A332","'LAZ'"
"787","'LUW'"
"190","'FLD'"
"190","'UTM'"
"707","'IFJ'"
"190","'EME'"
"MD80","'SQA'"
"A321","'SWO'"
"767","'PLD'"
"787","'BKB'"
"707","'LUH'"
"757","'AKX'"
"A320","'AHO'"
"170","'LWT'"
"MD80","'LIN'"
"777","'CIO'"
"CRJ440","'RNI'"
"CRJ700","'XIQ'"
"A332","'TUO'"
"ERJ145","'RMI'"
"170","'ZCN'"
"727","'MRO'"
"707","'WAQ'"
"777","'AVW'"
"ERJ145","'KGG'"
"767","'BDP'"
"CRJ440","'MNA'"
"MD80","'SBT'"
"707","'YYT'"
"MD80","'SBU'"
"170","'ADZ'"
"787","'LSZ'"
"747","'BIB'"
"767","'BFK'"
"CRJ700","'WAL'"
"707","'ZMG'"
"A321","'LNX'"
"170","'ULK'"
"787","'RUT'"
"CRJ100","'TAB'"
"A332","'YNZ'"
"CRJ440","'LDB'"
"CRJ100","'RBL'"
"MD80","'IVC'"
"CRJ100","'IOR'"
"190","'DUJ'"
"777","'NJC'"
"757","'FOG'"
"787","'AGX'"
"190","'REZ'"
"777","'HOU'"
"727","'WTN'"
"747","'WPR'"
"777","'AFL'"
"A319","'GUR'"
"CRJ100","'GEC'"
"727","'AUH'"
"747","'GES'"
"767","'ESC'"
"777","'NLH'"
"777","'JNZ'"
"A320","'BQB'"
"CRJ700","'RUS'"
"737","'PPK'"
"707","'DRS'"
"170","'TKA'"
"CRJ100","'CYG'"
"A332","'ITO'"
"ERJ145","'KUU'"
"CRJ100","'MCP'"
"190","'LDK'"
"CRJ440","'OCJ'"
"767","'ELS'"
"737","'SAG'"
"767","'GLT'"
"A332","'UGN'"
"757","'BJC'"
"757","'KES'"
"A321","'MOO'"
"170","'JER'"
"777","'DVT'"
"170","'SNE'"
"707","'PLN'"
"ERJ145","'YZY'"
"CRJ440","'ZQW'"
"190","'PCF'"
"767","'PRH'"
"747","'MCG'"
"757","'EUG'"
"CRJ440","'QLA'"
"727","'AAR'"
"747","'XYE'"
"A320","'CQM'"
"767","'BJO'"
"A319","'OKK'"
"A320","'GOU'"
"ERJ145","'TGG'"
"MD80","'PAT'"
"747","'GCJ'"
"CRJ700","'PFO'"
"A332","'LLW'"
"A321","'ESE'"
"A332","'BIY'"
"727","'MBH'"
"747","'ADM'"
"MD80","'AIU'"
"787","'ISM'"
"A321","'TYS'"
"A319","'TGT'"
"A319","'SKZ'"
"ERJ145","'BPG'"
"757","'BYH'"
"CRJ440","'MFU'"
"787","'ZAL'"
"A321","'TAR'"
"787","'SZX'"
"757","'ZGI'"
"A332","'IFU'"
"CRJ100","'UGO'"
"757","'SNV'"
"787","'UGC'"
"747","'MOI'"
"747","'XSB'"
"190","'HIO'"
"CRJ700","'PRN'"
"A320","'DAC'"
"A321","'TTI'"
"A320","'HBA'"
"CRJ700","'WBQ'"
"787","'TRC'"
"CRJ440","'FBD'"
"ERJ145","'FLV'"
"A332","'HDF'"
"ERJ145","'PMC'"
"170","'TKH'"
"MD80","'TMP'"
"707","'SMF'"
"727","'COE'"
"777","'BOS'"
"727","'VGA'"
"CRJ100","'PYY'"
"737","'IFJ'"
"A332","'MCF'"
"170","'OKC'"
"190","'HHP'"
"A319","'RCH'"
"777","'MCF'"
"737","'BFE'"
"A319","'CIP'"
"787","'UOX'"
"757","'RWF'"
"MD80","'SSR'"
"757","'YNS'"
"CRJ440","'BAL'"
"170","'CYU'"
"A332","'AGI'"
"A320","'YIP'"
"170","'TIQ'"
"190","'RIS'"
"757","'HTY'"
"CRJ440","'JGS'"
"787","'JCI'"
"CRJ440","'COU'"
"737","'OSR'"
"CRJ700","'FOC'"
"190","'XMY'"
"767","'BLJ'"
"ERJ145","'GTE'"
"767","'LBX'"
"707","'AIA'"
"MD80","'STK'"
"707","'SBA'"
"CRJ700","'ELH'"
"777","'OHA'"
"747","'FMH'"
"737","'MNL'"
"ERJ145","'LVM'"
"A321","'AOT'"
"A321","'BMB'"
"787","'MKZ'"
"CRJ700","'RMI'"
"727","'GBA'"
"777","'VIX'"
"777","'EDF'"
"767","'SJK'"
"A319","'IKB'"
"CRJ100","'WVK'"
"A321","'YRV'"
"787","'KTS'"
"787","'NSE'"
"ERJ145","'NQX'"
"CRJ700","'MDS'"
"CRJ700","'MPM'"
"190","'MUW'"
"ERJ145","'PYJ'"
"767","'NRN'"
"CRJ440","'PTU'"
"170","'MPK'"
"A321","'TBP'"
"777","'LAZ'"
"A319","'RGN'"
"757","'SMX'"
"787","'MMB'"
"ERJ145","'JSY'"
"ERJ145","'CLT'"
"CRJ700","'TIV'"
"787","'UYL'"
"A320","'KLM'"
"MD80","'NIT'"
"CRJ700","'ISG'"
"MD80","'SWA'"
"190","'UIP'"
"CRJ440","'FLR'"
"CRJ440","'TJA'"
"MD80","'DRW'"
"A319","'GOJ'"
"MD80","'SRX'"
"777","'YZD'"
"787","'BGL'"
"CRJ440","'RBR'"
"ERJ145","'EIB'"
"CRJ100","'BWW'"
"190","'ILI'"
"A321","'YFO'"
"CRJ700","'EMA'"
"A321","'CRZ'"
"A332","'MOE'"
"170","'PRA'"
"737","'BFS'"
"727","'MIM'"
"767","'PIA'"
"A319","'PYK'"
"A320","'AAZ'"
"747","'YYR'"
"170","'YQL'"
"CRJ440","'MOI'"
"CRJ440","'GUR'"
"170","'JHM'"
"CRJ700","'NQI'"
"170","'JED'"
"170","'NYU'"
"MD80","'VLN'"
"727","'SAA'"
"CRJ100","'ISP'"
"A320","'SCQ'"
"707","'MLY'"
"707","'RNA'"
"A320","'SCU'"
"CRJ700","'MHA'"
"727","'LPU'"
"190","'HGU'"
"737","'YZG'"
"747","'YIC'"
"ERJ145","'ILZ'"
"CRJ700","'CAK'"
"A319","'PEN'"
"A321","'JHG'"
"A332","'PBN'"
"747","'SAW'"
"MD80","'YCQ'"
"CRJ700","'WMT'"
"787","'JIW'"
"767","'ARC'"
"190","'XMH'"
"ERJ145","'BMU'"
"CRJ100","'SUN'"
"170","'ZQZ'"
"170","'GDT'"
"747","'TBT'"
"A319","'TWT'"
"767","'HTA'"
"A321","'JMS'"
"CRJ100","'AKD'"
"707","'YQY'"
"777","'HWO'"
"787","'ARW'"
"787","'KNF'"
"757","'HDG'"
"727","'SEH'"
"A332","'LGK'"
"190","'CVJ'"
"727","'RKD'"
"777","'TBI'"
"170","'YPJ'"
"787","'YTF'"
"737","'JSH'"
"A321","'PYH'"
"170","'BAG'"
"190","'PDX'"
"737","'BNU'"
"170","'TMX'"
"MD80","'JNI'"
"727","'THE'"
"A320","'KAA'"
"A332","'LHS'"
"767","'PIN'"
"CRJ440","'EML'"
"A321","'SXM'"
"170","'GFN'"
"727","'BRA'"
"A319","'BHH'"
"737","'MBJ'"
"757","'YCB'"
"MD80","'CEQ'"
"A320","'ZAR'"
"170","'NHZ'"
"727","'UTA'"
"747","'BBX'"
"A320","'LPT'"
"A321","'AUC'"
"ERJ145","'WGT'"
"ERJ145","'TLJ'"
"A319","'JYR'"
"170","'WVN'"
"737","'MBU'"
"CRJ700","'LUA'"
"727","'BQG'"
"727","'NPL'"
"737","'CTY'"
"A319","'HEH'"
"727","'VDI'"
"747","'BAY'"
"A319","'LBE'"
"747","'AFS'"
"A320","'ZND'"
"A332","'PVK'"
"787","'YVT'"
"767","'HOR'"
"737","'WSY'"
"777","'PZL'"
"757","'RBD'"
"727","'ICN'"
"MD80","'MSY'"
"777","'ELI'"
"A332","'CBO'"
"A332","'BSK'"
"747","'DWH'"
"190","'ADY'"
"787","'STS'"
"737","'DCN'"
"CRJ700","'FAJ'"
"737","'UTC'"
"747","'RJA'"
"190","'PEV'"
"A321","'GSQ'"
"757","'PPN'"
"MD80","'DCU'"
"777","'SAH'"
"787","'GHT'"
"787","'PUY'"
"747","'NTL'"
"A320","'FET'"
"747","'JNG'"
"170","'APN'"
"A319","'SLK'"
"737","'BMC'"
"CRJ700","'CHF'"
"MD80","'SWX'"
"707","'GYR'"
"707","'YJN'"
"CRJ440","'YDT'"
"707","'IBR'"
"757","'KLS'"
"CRJ440","'SHA'"
"CRJ700","'MTZ'"
"A332","'EOH'"
"170","'WPR'"
"757","'TNE'"
"727","'CTN'"
"777","'FTI'"
"190","'PUR'"
"777","'HGN'"
"CRJ700","'VDP'"
"A321","'ZAR'"
"A321","'KAO'"
"737","'BHP'"
"A319","'UIP'"
"CRJ440","'SYS'"
"747","'JTY'"
"CRJ700","'TPN'"
"A319","'GFR'"
"ERJ145","'BFJ'"
"CRJ440","'HOD'"
"CRJ440","'CGI'"
"190","'IOW'"
"CRJ700","'GOU'"
"787","'ZEM'"
"727","'HID'"
"767","'HMN'"
"A319","'LAS'"
"190","'YOA'"
"727","'DRT'"
"707","'HOB'"
"A319","'FBD'"
"707","'PNP'"
"A320","'PUD'"
"747","'MAK'"
"170","'PIA'"
"757","'TLJ'"
"737","'PRG'"
"A320","'HMG'"
"ERJ145","'OVB'"
"767","'PMK'"
"MD80","'ELI'"
"A320","'HNH'"
"757","'IAD'"
"707","'DCI'"
"A332","'LMN'"
"787","'SMT'"
"A320","'EHL'"
"727","'PMC'"
"787","'AJK'"
"170","'TJL'"
"ERJ145","'JDZ'"
"170","'BNB'"
"A321","'SFF'"
"170","'SBB'"
"707","'OIT'"
"CRJ440","'MTG'"
"777","'OSN'"
"A332","'MSW'"
"MD80","'MWF'"
"CRJ440","'DZN'"
"737","'SDX'"
"727","'YXS'"
"190","'TIM'"
"CRJ700","'COF'"
"767","'ZFM'"
"170","'LYM'"
"190","'SLJ'"
"777","'ASJ'"
"737","'WAM'"
"CRJ100","'BXP'"
"747","'LKH'"
"CRJ700","'MGF'"
"A320","'MAH'"
"727","'GSQ'"
"A319","'FTX'"
"A332","'BYI'"
"737","'IKU'"
"787","'MLA'"
"170","'YQH'"
"190","'NOA'"
"767","'IXS'"
"757","'SPG'"
"A332","'ONG'"
"CRJ100","'PMG'"
"767","'GLW'"
"707","'RBV'"
"A332","'BVI'"
"ERJ145","'OLJ'"
"MD80","'TMA'"
"CRJ440","'MWH'"
"A319","'KGI'"
"A332","'USM'"
"727","'ANK'"
"170","'YIF'"
"757","'HYA'"
"A321","'ESH'"
"A320","'SQQ'"
"727","'JNI'"
"727","'LAJ'"
"170","'GML'"
"757","'BLL'"
"767","'MHR'"
"ERJ145","'WBU'"
"A319","'BZE'"
"757","'SVX'"
"CRJ440","'KTA'"
"747","'GNZ'"
"CRJ440","'EPU'"
"787","'LTS'"
"A332","'DNH'"
"ERJ145","'JHM'"
"170","'BQS'"
"CRJ440","'AGV'"
"787","'SLY'"
"747","'RBY'"
"787","'GRW'"
"747","'KUM'"
"CRJ700","'MSQ'"
"747","'RRS'"
"CRJ700","'BRQ'"
"727","'BQK'"
"CRJ700","'RNB'"
"A332","'MCK'"
"CRJ440","'PTA'"
"737","'EME'"
"ERJ145","'ECP'"
"170","'KRC'"
"ERJ145","'JON'"
"787","'XVS'"
"A319","'NOC'"
"CRJ100","'SBT'"
"757","'MER'"
"767","'XUZ'"
"MD80","'SRN'"
"CRJ100","'SDT'"
"170","'BMW'"
"757","'TBW'"
"MD80","'WKR'"
"787","'FOD'"
"CRJ700","'RVY'"
"170","'PVR'"
"707","'SPU'"
"170","'RIB'"
"A332","'SRZ'"
"747","'AAZ'"
"ERJ145","'KPO'"
"A332","'EKS'"
"A332","'KKC'"
"170","'OIA'"
"737","'AFA'"
"170","'NOV'"
"CRJ700","'VHM'"
"190","'SIT'"
"170","'TSB'"
"ERJ145","'AIA'"
"A319","'LPC'"
"777","'SGX'"
"MD80","'SEP'"
"190","'LCL'"
"A321","'LMA'"
"737","'LUX'"
"777","'YQT'"
"767","'WSP'"
"A332","'YWJ'"
"707","'QLR'"
"170","'YEK'"
"727","'PSO'"
"737","'TNH'"
"A319","'ZAC'"
"787","'GPA'"
"707","'EZV'"
"757","'YQZ'"
"727","'YIO'"
"707","'TEA'"
"ERJ145","'HSS'"
"707","'KCM'"
"767","'BBU'"
"A320","'SKU'"
"A319","'RIA'"
"170","'BYJ'"
"747","'OVD'"
"747","'PBJ'"
"757","'MFG'"
"CRJ100","'LCE'"
"A332","'SUR'"
"727","'TMA'"
"170","'OCW'"
"767","'SDM'"
"CRJ440","'VPY'"
"A320","'GTO'"
"A320","'GBB'"
"727","'CED'"
"767","'NTU'"
"787","'BBU'"
"170","'LBA'"
"777","'QGQ'"
"170","'EYW'"
"757","'WRE'"
"CRJ440","'FOS'"
"CRJ100","'MNY'"
"ERJ145","'QRO'"
"A319","'FXO'"
"CRJ100","'PDT'"
"170","'SIF'"
"727","'MWC'"
"747","'TFL'"
"767","'XTO'"
"A332","'KAC'"
"A321","'GSP'"
"ERJ145","'LPC'"
"767","'LZY'"
"CRJ100","'UTM'"
"A321","'KLX'"
"CRJ700","'CGZ'"
"CRJ700","'PKW'"
"777","'VNT'"
"747","'GIT'"
"777","'FGI'"
"A321","'KMA'"
"A319","'DOG'"
"CRJ700","'MIK'"
"767","'PBR'"
"727","'JMK'"
"707","'AQB'"
"MD80","'MVZ'"
"737","'YIF'"
"A319","'FOR'"
"787","'KLO'"
"747","'JSA'"
"727","'IPA'"
"CRJ100","'BIA'"
"A320","'FRO'"
"MD80","'JHS'"
"757","'WKL'"
"MD80","'MDS'"
"CRJ100","'GNA'"
"707","'CSX'"
"757","'PCB'"
"787","'KKC'"
"757","'YFO'"
"190","'CBE'"
"170","'EOI'"
"727","'LAD'"
"CRJ440","'PSY'"
"747","'LID'"
"190","'TAP'"
"CRJ100","'SXK'"
"727","'FAN'"
"170","'NBS'"
"MD80","'AWK'"
"747","'VCD'"
"A319","'JSY'"
"727","'PDX'"
"A320","'LLI'"
"190","'VLL'"
"787","'PUC'"
"CRJ440","'TBI'"
"A319","'FRO'"
"767","'TSH'"
"707","'SUU'"
"A320","'XRR'"
"CRJ700","'STG'"
"A332","'DHI'"
"190","'WSN'"
"A332","'YMJ'"
"CRJ100","'IFU'"
"CRJ440","'VLR'"
"CRJ100","'AGX'"
"CRJ700","'PNB'"
"190","'HHE'"
"190","'ATF'"
"CRJ100","'MJM'"
"ERJ145","'GPL'"
"CRJ100","'SSZ'"
"747","'TUO'"
"170","'SHJ'"
"727","'EGC'"
"170","'VLL'"
"190","'SOM'"
"707","'HGH'"
"CRJ100","'CMP'"
"737","'JYV'"
"737","'XRR'"
"A320","'KWG'"
"CRJ700","'TMP'"
"CRJ100","'TNR'"
"CRJ440","'ZCN'"
"727","'MPO'"
"747","'LTI'"
"787","'KGC'"
"777","'UAM'"
"787","'NAT'"
"A320","'UAS'"
"737","'TGR'"
"A320","'KNU'"
"757","'SZL'"
"787","'NIG'"
"MD80","'DGL'"
"CRJ100","'MHH'"
"A332","'LAY'"
"727","'TPN'"
"737","'YYN'"
"777","'MRR'"
"767","'PFN'"
"CRJ100","'YSK'"
"A320","'DYL'"
"777","'QPS'"
"777","'MIP'"
"757","'UTS'"
"787","'YOH'"
"A320","'PQC'"
"757","'NJF'"
"A321","'FCN'"
"777","'PVS'"
"737","'BHR'"
"A319","'QUY'"
"ERJ145","'KVL'"
"MD80","'NAT'"
"MD80","'RBE'"
"727","'YSP'"
"CRJ700","'MES'"
"MD80","'DHT'"
"737","'MFE'"
"CRJ440","'GTI'"
"A319","'WAQ'"
"CRJ700","'YXK'"
"CRJ440","'ZLO'"
"MD80","'LPI'"
"190","'KBS'"
"A320","'OMB'"
"747","'AIS'"
"787","'YYE'"
"767","'CSK'"
"ERJ145","'SUL'"
"747","'MDS'"
"MD80","'BSX'"
"CRJ440","'PKG'"
"CRJ440","'YQC'"
"727","'MPM'"
"A321","'JAK'"
"707","'CYZ'"
"CRJ700","'GBA'"
"CRJ440","'CPE'"
"A320","'MKU'"
"A319","'BHW'"
"767","'KHV'"
"CRJ440","'ELF'"
"CRJ100","'RKP'"
"707","'FTI'"
"ERJ145","'REL'"
"CRJ440","'ALG'"
"CRJ700","'LAQ'"
"787","'KGJ'"
"A319","'OLV'"
"767","'BNE'"
"170","'JNG'"
"737","'KES'"
"777","'YQU'"
"747","'ISC'"
"A332","'SAL'"
"767","'MAQ'"
"CRJ700","'BAY'"
"777","'EJH'"
"727","'PAG'"
"A332","'PES'"
"767","'ZIS'"
"CRJ440","'IBA'"
"170","'VGA'"
"170","'ZYL'"
"ERJ145","'EIN'"
"CRJ700","'ALJ'"
"A320","'ABI'"
"707","'BUG'"
"777","'MYV'"
"787","'RMS'"
"170","'PIR'"
"190","'ROP'"
"A320","'NPO'"
"A332","'DAR'"
"CRJ440","'UBB'"
"170","'DSN'"
"747","'FDO'"
"757","'LIW'"
"170","'CAB'"
"A332","'SCU'"
"190","'TGN'"
"A320","'PVC'"
"CRJ440","'BEZ'"
"A319","'NKB'"
"A320","'GNR'"
"MD80","'BQL'"
"747","'CGP'"
"ERJ145","'PUY'"
"787","'OKK'"
"A332","'ROI'"
"767","'MZU'"
"CRJ100","'GSQ'"
"757","'ORF'"
"A320","'FSP'"
"A320","'ERC'"
"A321","'LBL'"
"787","'PKP'"
"190","'CRG'"
"777","'TQQ'"
"737","'OVG'"
"A319","'HYV'"
"MD80","'ABD'"
"737","'LZY'"
"A332","'DPO'"
"767","'CDB'"
"767","'MOA'"
"190","'DIK'"
"777","'JHQ'"
"787","'NDU'"
"737","'LGD'"
"CRJ100","'RUH'"
"A332","'HDN'"
"MD80","'XKH'"
"CRJ440","'ZKB'"
"CRJ700","'RKV'"
"MD80","'KWZ'"
"A320","'BKW'"
"A320","'UJE'"
"757","'YCN'"
"A332","'BCL'"
"737","'GAY'"
"707","'MIB'"
"ERJ145","'GIU'"
"727","'TBP'"
"A320","'LAD'"
"CRJ700","'HGH'"
"737","'ARH'"
"787","'GME'"
"190","'IPC'"
"727","'MRU'"
"747","'HMI'"
"737","'DAN'"
"707","'BZR'"
"727","'KBP'"
"CRJ700","'CWT'"
"A320","'ENV'"
"A320","'CFB'"
"707","'LPI'"
"A320","'FRZ'"
"707","'CXO'"
"747","'AVW'"
"CRJ700","'EJA'"
"CRJ700","'GMD'"
"777","'KSA'"
"767","'ERC'"
"727","'CKG'"
"CRJ700","'BHJ'"
"A319","'UNG'"
"A321","'GUS'"
"A321","'MXL'"
"787","'DRV'"
"A321","'VDB'"
"777","'BIH'"
"A332","'LEA'"
"737","'NWI'"
"170","'OAS'"
"A320","'SML'"
"ERJ145","'WTB'"
"190","'PMA'"
"A321","'CVS'"
"777","'KEP'"
"737","'HYN'"
"707","'KLC'"
"707","'DYU'"
"757","'OHA'"
"ERJ145","'CBM'"
"787","'TSE'"
"727","'MTJ'"
"777","'VSA'"
"707","'IOS'"
"747","'VLS'"
"767","'IEG'"
