"Goroka.Airport","Goroka","Papua.New.Guinea","GKA"
"Winnipeg / James Armstrong Richardson International Airport","Winnipeg","Canada","YWG"
"Wabush Airport","Wabush","Canada","YWK"
"Williams Lake Airport","Williams Lake","Canada","YWL"
"Wrigley Airport","Wrigley","Canada","YWY"
"Cranbrook/Canadian Rockies International Airport","Cranbrook","Canada","YXC"
"Edmonton City Centre (Blatchford Field) Airport","Edmonton","Canada","YXD"
"Saskatoon John G. Diefenbaker International Airport","Saskatoon","Canada","YXE"
"Medicine Hat Airport","Medicine Hat","Canada","YXH"
"Fort St John Airport","Fort Saint John","Canada","YXJ"
"Sioux Lookout Airport","Sioux Lookout","Canada","YXL"
"Pangnirtung Airport","Pangnirtung","Canada","YXP"
"Earlton (Timiskaming Regional) Airport","Earlton","Canada","YXR"
"Prince George Airport","Prince George","Canada","YXS"
"Northwest Regional Airport Terrace-Kitimat","Terrace","Canada","YXT"
"London Airport","London","Canada","YXU"
"Abbotsford Airport","Abbotsford","Canada","YXX"
"Whitehorse / Erik Nielsen International Airport","Whitehorse","Canada","YXY"
"North Bay Jack Garland Airport","North Bay","Canada","YYB"
"Calgary International Airport","Calgary","Canada","YYC"
"Smithers Airport","Smithers","Canada","YYD"
"Fort Nelson Airport","Fort Nelson","Canada","YYE"
"Penticton Airport","Penticton","Canada","YYF"
"Charlottetown Airport","Charlottetown","Canada","YYG"
"Taloyoak Airport","Spence Bay","Canada","YYH"
"Victoria International Airport","Victoria","Canada","YYJ"
"Lynn Lake Airport","Lynn Lake","Canada","YYL"
"Swift Current Airport","Swift Current","Canada","YYN"
"Churchill Airport","Churchill","Canada","YYQ"
"Goose Bay Airport","Goose Bay","Canada","YYR"
"St. John's International Airport","St. John's","Canada","YYT"
"Kapuskasing Airport","Kapuskasing","Canada","YYU"
"Armstrong Airport","Armstrong","Canada","YYW"
"Mont Joli Airport","Mont Joli","Canada","YYY"
"Lester B. Pearson International Airport","Toronto","Canada","YYZ"
"Downsview Airport","Toronto","Canada","YZD"
"Gore Bay Manitoulin Airport","Gore Bay","Canada","YZE"
"Yellowknife Airport","Yellowknife","Canada","YZF"
"Slave Lake Airport","Slave Lake","Canada","YZH"
"Sandspit Airport","Sandspit","Canada","YZP"
"Chris Hadfield Airport","Sarnia","Canada","YZR"
"Port Hardy Airport","Port Hardy","Canada","YZT"
"Whitecourt Airport","Whitecourt","Canada","YZU"
"Sept-Îles Airport","Sept-iles","Canada","YZV"
"Teslin Airport","Teslin","Canada","YZW"
"CFB Greenwood","Greenwood","Canada","YZX"
"Faro Airport","Faro","Canada","ZFA"
"Fort Mcpherson Airport","Fort Mcpherson","Canada","ZFM"
"Blida Airport","Blida","Algeria","QLD"
"Bou Saada Airport","Bou Saada","Algeria","BUJ"
"Soummam Airport","Bejaja","Algeria","BJA"
"Houari Boumediene Airport","Algier","Algeria","ALG"
"Djanet Inedbirene Airport","Djanet","Algeria","DJG"
"Boufarik Airport","Boufarik","Algeria","\N"
"Reggane Airport","Reggan","Algeria","\N"
"Illizi Takhamalt Airport","Illizi","Algeria","VVZ"
"Ain Oussera Airport","Ain Oussera","Algeria","\N"
"Aguenar – Hadj Bey Akhamok Airport","Tamanrasset","Algeria","TMR"
"Jijel Ferhat Abbas Airport","Jijel","Algeria","GJL"
"Mecheria Airport","Mecheria","Algeria","MZW"
"Relizane Airport","Relizane","Algeria","\N"
"Rabah Bitat Airport","Annaba","Algeria","AAE"
"Mohamed Boudiaf International Airport","Constantine","Algeria","CZL"
"Cheikh Larbi Tébessi Airport","Tebessa","Algeria","TEE"
"Hassi R'Mel Airport","Tilrempt","Algeria","HRM"
"Bou Chekif Airport","Tiaret","Algeria","TID"
"Bou Sfer Airport","Bou Sfer","Algeria","\N"
"Tindouf Airport","Tindouf","Algeria","TIN"
"Ech Cheliff Airport","Ech-cheliff","Algeria","CFK"
"Tafaraoui Airport","Oran","Algeria","TAF"
"Zenata – Messali El Hadj Airport","Tlemcen","Algeria","TLM"
"Es Senia Airport","Oran","Algeria","ORN"
"Sidi Bel Abbes Airport","Sidi Bel Abbes","Algeria","BFW"
"Ghriss Airport","Ghriss","Algeria","MUW"
"Touat Cheikh Sidi Mohamed Belkebir Airport","Adrar","Algeria","AZR"
"Biskra Airport","Biskra","Algeria","BSK"
"El Golea Airport","El Golea","Algeria","ELG"
"Noumérat - Moufdi Zakaria Airport","Ghardaia","Algeria","GHA"
"Oued Irara Airport","Hassi Messaoud","Algeria","HME"
"In Salah Airport","In Salah","Algeria","INZ"
"Touggourt Sidi Madhi Airport","Touggourt","Algeria","TGR"
"Laghouat Airport","Laghouat","Algeria","LOO"
"Timimoun Airport","Timimoun","Algeria","TMX"
"Ain el Beida Airport","Ouargla","Algeria","OGX"
"In Aménas Airport","Zarzaitine","Algeria","IAM"
"Cadjehoun Airport","Cotonou","Benin","COO"
"Ouagadougou Airport","Ouagadougou","Burkina Faso","OUA"
"Bobo Dioulasso Airport","Bobo-dioulasso","Burkina Faso","BOY"
"Kotoka International Airport","Accra","Ghana","ACC"
"Tamale Airport","Tamale","Ghana","TML"
"Wa Airport","Wa","Ghana","\N"
"Sunyani Airport","Sunyani","Ghana","NYI"
"Takoradi Airport","Takoradi","Ghana","TKD"
"Port Bouet Airport","Abidjan","Cote d'Ivoire","ABJ"
"Bouaké Airport","Bouake","Cote d'Ivoire","BYK"
"Daloa Airport","Daloa","Cote d'Ivoire","DJO"
"Korhogo Airport","Korhogo","Cote d'Ivoire","HGO"
"Man Airport","Man","Cote d'Ivoire","MJC"
"San Pedro Airport","San Pedro","Cote d'Ivoire","SPY"
"Yamoussoukro Airport","Yamoussoukro","Cote d'Ivoire","ASK"
"Nnamdi Azikiwe International Airport","Abuja","Nigeria","ABV"
"Akure Airport","Akure","Nigeria","AKR"
"Benin Airport","Benin","Nigeria","BNI"
"Margaret Ekpo International Airport","Calabar","Nigeria","CBQ"
"Akanu Ibiam International Airport","Enugu","Nigeria","ENU"
"Gusau Airport","Gusau","Nigeria","\N"
"Ibadan Airport","Ibadan","Nigeria","IBA"
"Ilorin International Airport","Ilorin","Nigeria","ILR"
"Yakubu Gowon Airport","Jos","Nigeria","JOS"
"Kaduna Airport","Kaduna","Nigeria","KAD"
"Mallam Aminu International Airport","Kano","Nigeria","KAN"
"Maiduguri International Airport","Maiduguri","Nigeria","MIU"
"Makurdi Airport","Makurdi","Nigeria","MDI"
"Murtala Muhammed International Airport","Lagos","Nigeria","LOS"
"Minna Airport","Minna","Nigeria","MXJ"
"Port Harcourt International Airport","Port Hartcourt","Nigeria","PHC"
"Sadiq Abubakar III International Airport","Sokoto","Nigeria","SKO"
"Yola Airport","Yola","Nigeria","YOL"
"Zaria Airport","Zaria","Nigeria","ZAR"
"Maradi Airport","Maradi","Niger","MFQ"
"Diori Hamani International Airport","Niamey","Niger","NIM"
"Tahoua Airport","Tahoua","Niger","THZ"
"Mano Dayak International Airport","Agadez","Niger","AJY"
"Dirkou Airport","Dirkou","Niger","\N"
"Diffa Airport","Diffa","Niger","\N"
"Zinder Airport","Zinder","Niger","ZND"
"Monastir Habib Bourguiba International Airport","Monastir","Tunisia","MIR"
"Tunis Carthage International Airport","Tunis","Tunisia","TUN"
"Sidi Ahmed Air Base","Bizerte","Tunisia","\N"
"Remada Air Base","Remada","Tunisia","\N"
"Gafsa Ksar International Airport","Gafsa","Tunisia","GAF"
"Gabès Matmata International Airport","Gabes","Tunisia","GAE"
"Borj El Amri Airport","Bordj El Amri","Tunisia","\N"
"Djerba Zarzis International Airport","Djerba","Tunisia","DJE"
"El Borma Airport","El Borma","Tunisia","EBM"
"Sfax Thyna International Airport","Sfax","Tunisia","SFA"
"Tozeur Nefta International Airport","Tozeur","Tunisia","TOE"
"Niamtougou International Airport","Niatougou","Togo","LRL"
"Lomé-Tokoin Airport","Lome","Togo","LFW"
"Antwerp International Airport (Deurne)","Antwerp","Belgium","ANR"
"Beauvechain Air Base","Beauvechain","Belgium","\N"
"Kleine Brogel Air Base","Kleine Brogel","Belgium","\N"
"Brussels Airport","Brussels","Belgium","BRU"
"Jehonville Air Base","Bertrix","Belgium","\N"
"Brussels South Charleroi Airport","Charleroi","Belgium","CRL"
"Chièvres Air Base","Chievres","Belgium","\N"
"Koksijde Air Base","Koksijde","Belgium","\N"
"Florennes Air Base","Florennes","Belgium","\N"
"Wevelgem Airport","Kortrijk-vevelgem","Belgium","KJK"
"Liège Airport","Liege","Belgium","LGG"
"Ostend-Bruges International Airport","Ostend","Belgium","OST"
"Zutendaal Air Base","Zutendaal","Belgium","\N"
"Brustem Airfield Sint Truiden","Sint-truiden","Belgium","\N"
"Saint Hubert Air Base","St.-hubert","Belgium","\N"
"Ursel Air Base","Ursel","Belgium","\N"
"Weelde Air Base","Weelde","Belgium","\N"
"Zoersel (Oostmalle) Airfield","Zoersel","Belgium","OBL"
"Flugplatz Bautzen","Bautzen","Germany","\N"
"Altenburg-Nobitz Airport","Altenburg","Germany","AOC"
"Dessau Airfield","Dessau","Germany","\N"
"Eisenhüttenstadt Airfield","Eisenhuettenstadt","Germany","\N"
"Großenhain Airport","Suhl","Germany","\N"
"Merseburg Airport","Muehlhausen","Germany","\N"
"Halle-Oppin Airport","Halle","Germany","\N"
"Riesa-Göhlis Airport","Riesa","Germany","IES"
"Rechlin-Lärz Airport","Rechlin-laerz","Germany","REB"
"Strausberg Airport","Strausberg","Germany","\N"
"Schönhagen Airport","Schoenhagen","Germany","QXH"
"Barth Airport","Barth","Germany","BBH"
"Jena-Schöngleina Airfield","Jena","Germany","\N"
"Kyritz Airport","Kyritz","Germany","\N"
"Magdeburg ""City"" Airport","Magdeburg","Germany","ZMG"
"Rothenburg/Görlitz Airport","Rothenburg/ol","Germany","\N"
"Anklam Airfield","Anklam","Germany","\N"
"Cottbus-Drewitz Airport","Cottbus","Germany","CBU"
"Kamenz Airport","Kamenz","Germany","\N"
"Berlin-Schönefeld Airport","Berlin","Germany","SXF"
"Dresden Airport","Dresden","Germany","DRS"
"Erfurt Airport","Erfurt","Germany","ERF"
"Frankfurt am Main Airport","Frankfurt","Germany","FRA"
"Münster Osnabrück Airport","Munster","Germany","FMO"
"Hamburg Airport","Hamburg","Germany","HAM"
"Berlin-Tempelhof International Airport","Berlin","Germany","THF"
"Cologne Bonn Airport","Cologne","Germany","CGN"
"Düsseldorf Airport","Duesseldorf","Germany","DUS"
"Munich Airport","Munich","Germany","MUC"
"Nuremberg Airport","Nuernberg","Germany","NUE"
"Leipzig/Halle Airport","Leipzig","Germany","LEJ"
"Saarbrücken Airport","Saarbruecken","Germany","SCN"
"Stuttgart Airport","Stuttgart","Germany","STR"
"Berlin-Tegel Airport","Berlin","Germany","TXL"
"Hannover Airport","Hannover","Germany","HAJ"
"Bremen Airport","Bremen","Germany","BRE"
"Frankfurt-Egelsbach Airport","Egelsbach","Germany","QEF"
"Frankfurt-Hahn Airport","Hahn","Germany","HHN"
"Mannheim-City Airport","Mannheim","Germany","MHG"
"Allendorf/Eder Airport","Allendorf","Germany","\N"
"Worms Airport","Worms","Germany","\N"
"Mainz-Finthen Airport","Mainz","Germany","\N"
"Eisenach-Kindel Airport","Eisenach","Germany","EIB"
"Siegerland Airport","Siegerland","Germany","SGE"
"Hamburg-Finkenwerder Airport","Hamburg","Germany","XFW"
"Kiel-Holtenau Airport","Kiel","Germany","KEL"
"Lübeck Blankensee Airport","Luebeck","Germany","LBC"
"Flugplatz Dahlemer Binz","Dahlemer Binz","Germany","\N"
"Meinerzhagen Airport","Meinerzhagen","Germany","\N"
"Arnsberg-Menden Airport","Arnsberg","Germany","\N"
"Essen Mulheim Airport","Essen","Germany","ESS"
"Bielefeld Airport","Bielefeld","Germany","BFE"
"Mönchengladbach Airport","Moenchengladbach","Germany","MGL"
"Paderborn Lippstadt Airport","Paderborn","Germany","PAD"
"Stadtlohn-Vreden Airport","Stadtlohn","Germany","\N"
"Dortmund Airport","Dortmund","Germany","DTM"
"Augsburg Airport","Augsburg","Germany","AGB"
"Biberach a.d. Riß Airfield","Biberach","Germany","\N"
"Eggenfelden Airport","Eggenfelden","Germany","\N"
"Mindelheim-Mattsies Airfield","Mindelheim","Germany","\N"
"Oberpfaffenhofen Airport","Oberpfaffenhofen","Germany","OBF"
"Straubing Airport","Straubing","Germany","RBM"
"Vilshofen Airport","Vilshofen","Germany","\N"
"Leutkirch-Unterzeil Airport","Leutkirch","Germany","\N"
"Friedrichshafen Airport","Friedrichshafen","Germany","FDH"
"Schwerin Parchim Airport","Parchim","Germany","SZW"
"Stendal-Borstel Airport","Stendal","Germany","\N"
"Aalen-Heidenheim/Elchingen Airport","Aalen-heidenheim","Germany","\N"
"Bayreuth Airport","Bayreuth","Germany","BYU"
"Burg Feuerstein Airport","Burg Feuerstein","Germany","URD"
"Hof-Plauen Airport","Hof","Germany","HOQ"
"Haßfurt-Schweinfurt Airport","Hassfurt","Germany","\N"
"Koblenz-Winningen Airfield","Koblenz","Germany","\N"
"Trier-Föhren Airport","Trier","Germany","\N"
"Speyer Airfield","Speyer","Germany","\N"
"Zweibrücken Airport","Zweibruecken","Germany","ZQW"
"Donaueschingen-Villingen Airport","Donaueschingen","Germany","ZQL"
"Freiburg i. Br. Airport","Freiburg","Germany","\N"
"Mengen-Hohentengen Airport","Mengen","Germany","\N"
"Adolf Würth Airport","Schwaebisch Hall","Germany","\N"
"Finsterwalde/Schacksdorf Airport","Soest","Germany","\N"
"Braunschweig-Wolfsburg Airport","Braunschweig","Germany","BWE"
"Kassel-Calden Airport","Kassel","Germany","KSF"
"Hildesheim Airport","Hildesheim","Germany","\N"
"Bremerhaven Airport","Bremerhaven","Germany","BRV"
"Emden Airport","Emden","Germany","EME"
"Leer-Papenburg Airport","Leer","Germany","\N"
"Wilhelmshaven-Mariensiel Airport","Wilhelmshaven","Germany","WVN"
"Borkum Airport","Borkum","Germany","BMK"
"Norderney Airport","Norderney","Germany","NRD"
"Flensburg-Schäferhaus Airport","Flensburg","Germany","FLF"
"Rendsburg-Schachtholm Airport","Rendsburg","Germany","\N"
"Westerland Sylt Airport","Westerland","Germany","GWT"
"Ämari Air Base","Armari Air Force Base","Estonia","\N"
"Kärdla Airport","Kardla","Estonia","KDL"
"Kuressaare Airport","Kuressaare","Estonia","URE"
"Pärnu Airport","Parnu","Estonia","EPU"
"Lennart Meri Tallinn Airport","Tallinn-ulemiste International","Estonia","TLL"
"Tartu Airport","Tartu","Estonia","TAY"
"Enontekio Airport","Enontekio","Finland","ENF"
"Eura Airport","Eura","Finland","\N"
"Halli Airport","Halli","Finland","KEV"
"Helsinki Malmi Airport","Helsinki","Finland","HEM"
"Helsinki Vantaa Airport","Helsinki","Finland","HEL"
"Hameenkyro Airport","Hameenkyro","Finland","\N"
"Hanko Airport","Hanko","Finland","\N"
"Hyvinkää Airfield","Hyvinkaa","Finland","HYV"
"Kiikala Airport","Kikala","Finland","\N"
"Immola Airport","Immola","Finland","\N"
"Kitee Airport","Kitee","Finland","KTQ"
"Ivalo Airport","Ivalo","Finland","IVL"
"Joensuu Airport","Joensuu","Finland","JOE"
"Jyvaskyla Airport","Jyvaskyla","Finland","JYV"
"Kauhava Airport","Kauhava","Finland","KAU"
"Kemi-Tornio Airport","Kemi","Finland","KEM"
"Kajaani Airport","Kajaani","Finland","KAJ"
"Kauhajoki Airport","Kauhajoki","Finland","KHJ"
"Kokkola-Pietarsaari Airport","Kruunupyy","Finland","KOK"
"Kemijarvi Airport","Kemijarvi","Finland","\N"
"Kuusamo Airport","Kuusamo","Finland","KAO"
"Kittilä Airport","Kittila","Finland","KTT"
"Kuopio Airport","Kuopio","Finland","KUO"
"Lahti Vesivehmaa Airport","Vesivehmaa","Finland","QLF"
"Lappeenranta Airport","Lappeenranta","Finland","LPP"
"Mariehamn Airport","Mariehamn","Finland","MHQ"
"Menkijarvi Airport","Menkijarvi","Finland","\N"
"Mikkeli Airport","Mikkeli","Finland","MIK"
"Nummela Airport","Nummela","Finland","\N"
"Oulu Airport","Oulu","Finland","OUL"
"Piikajarvi Airport","Piikajarvi","Finland","\N"
"Pori Airport","Pori","Finland","POR"
"Pudasjärvi Airport","Pudasjarvi","Finland","\N"
"Pyhäsalmi Airport","Pyhasalmi","Finland","\N"
"Raahe Pattijoki Airport","Pattijoki","Finland","\N"
"Rantasalmi Airport","Rantasalmi","Finland","\N"
"Rovaniemi Airport","Rovaniemi","Finland","RVN"
"Rayskala Airport","Rayskala","Finland","\N"
"Savonlinna Airport","Savonlinna","Finland","SVL"
"Selanpaa Airport","Selanpaa","Finland","\N"
"Sodankyla Airport","Sodankyla","Finland","SOT"
"Tampere-Pirkkala Airport","Tampere","Finland","TMP"
"Teisko Airport","Teisko","Finland","\N"
"Turku Airport","Turku","Finland","TKU"
"Utti Air Base","Utti","Finland","UTI"
"Vaasa Airport","Vaasa","Finland","VAA"
"Varkaus Airport","Varkaus","Finland","VRK"
"Ylivieska Airfield","Ylivieska-raudaskyla","Finland","YLI"
"Belfast International Airport","Belfast","United Kingdom","BFS"
"St Angelo Airport","Enniskillen","United Kingdom","ENK"
"George Best Belfast City Airport","Belfast","United Kingdom","BHD"
"City of Derry Airport","Londonderry","United Kingdom","LDY"
"Birmingham International Airport","Birmingham","United Kingdom","BHX"
"Coventry Airport","Coventry","United Kingdom","CVT"
"Leicester Airport","Leicester","United Kingdom","\N"
"Gloucestershire Airport","Golouchestershire","United Kingdom","GLO"
"Wolverhampton Halfpenny Green Airport","Halfpenny Green","United Kingdom","\N"
"Cotswold Airport","Pailton","United Kingdom","GBA"
"Turweston Airport","Turweston","United Kingdom","\N"
"Wellesbourne Mountford Airport","Wellesbourne","United Kingdom","\N"
"Manchester Airport","Manchester","United Kingdom","MAN"
"Manchester Woodford Airport","Woodfort","United Kingdom","\N"
"Royal Marines Base Chivenor Airport","Chivenor","United Kingdom","\N"
"Newquay Cornwall Airport","Newquai","United Kingdom","NQY"
"RAF Lyneham","Lyneham","United Kingdom","LYE"
"MoD Boscombe Down Airport","Boscombe Down","United Kingdom","\N"
"RNAS Culdrose","Culdrose","United Kingdom","\N"
"MoD St. Athan","St. Athan","United Kingdom","\N"
"RNAS Yeovilton","Yeovilton","United Kingdom","YEO"
"Haverfordwest Airport","Haverfordwest","United Kingdom","HAW"
"Cardiff International Airport","Cardiff","United Kingdom","CWL"
"Swansea Airport","Swansea","United Kingdom","SWS"
"Bristol Airport","Bristol","United Kingdom","BRS"
"Liverpool John Lennon Airport","Liverpool","United Kingdom","LPL"
"London Luton Airport","London","United Kingdom","LTN"
"Plymouth City Airport","Plymouth","United Kingdom","PLH"
"Bournemouth Airport","Bournemouth","United Kingdom","BOH"
"Southampton Airport","Southampton","United Kingdom","SOU"
"Lasham Airport","Lasham","United Kingdom","QLA"
"Alderney Airport","Alderney","Guernsey","ACI"
"Guernsey Airport","Guernsey","Guernsey","GCI"
