"compagnia_aerea","aeroplano"
"Markair","AP922"
"Royal Southern Airlines.","AP185"
"Kish Air","AP827"
"APA Internacional","AP979"
"Princess Air","AP624"
"Tanana Air Services","AP973"
"Aircrew Check and Training Australia","AP410"
"Solent Flight","AP522"
"Peruvian Navy","AP883"
"Rolls-Royce Limited","AP372"
"Helicopter & Aviation Services","AP855"
"All America CL","AP180"
"Air Pegasus","AP100"
"Bannert Air","AP923"
"GEC Marconi Avionics","AP237"
"Windward Islands Airways International","AP407"
"Sasair","AP704"
"Argentine Air Force","AP272"
"Aeris Gestion","AP41"
"Helicopter & Aviation Services","AP279"
"Airtrans Ltd","AP886"
"Aerogala","AP294"
"LSM Airlines","AP599"
"Brazilian Army Aviation","AP242"
"Blue Line","AP678"
"Aeroput","AP855"
"WestJet Encore","AP595"
"Worldspan","AP185"
"Valair AG (Helicoptere)","AP261"
"Air Zermatt AG","AP202"
"Shuswap Flight Centre","AP143"
"Bukovyna","AP368"
"Victor Tagle Larrain","AP437"
"China United Airlines","AP84"
"Rossiya","AP51"
"Luhansk","AP239"
"Pilatus PC-12 Center De Mexico","AP316"
"Blue Chip Jet","AP919"
"Aerotucan","AP283"
"Ecuatorial Cargo","AP376"
"Dasnair","AP461"
"Flight-Ops International","AP995"
"JDP Lux","AP36"
"Servicios Aereos De Nicaragua (SANSA)","AP927"
"Premium Aviation","AP143"
"Air Safaris and Services","AP493"
"Comfort Air","AP966"
"GM Helicopters","AP49"
"SNCF","AP188"
"SAS Braathens","AP93"
"Breeze Ltd","AP849"
"Yeti Airlines ","AP548"
"Hughes Aircraft Company","AP150"
"Aeroxtra","AP116"
"Flying kangaroo Airline","AP662"
"Avia Business Group","AP812"
"Durango Jet","AP395"
"Markair","AP2"
"Air Explore","AP472"
"Transpais Aereo","AP781"
"Novogorod Air Enterprise","AP899"
"Paramount Airlines","AP154"
"Direct Aero Services","AP405"
"Zambezi Airlines","AP847"
"SITA","AP453"
"Elite Air","AP964"
"TAB Express International","AP418"
"Aeropro","AP151"
"Aero Servicios Ejecutivas Del Pacifico","AP641"
"AVCOM","AP278"
"Florida West International Airways","AP181"
"Societe Centrafricaine De Transport Aerien","AP666"
"Hyack Air","AP280"
"Air Service","AP937"
"Kavouras Inc","AP181"
"Aerojal","AP980"
"National Airways Cameroon","AP583"
"Air Atlantic Dominicana","AP71"
"JAL Express","AP160"
"Rainbow Air Canada","AP553"
"Helicopteros Agroforestal","AP563"
"Axel Rent","AP725"
"Malmo Aviation","AP83"
"Afrika Aviation Handlers","AP8"
"Independent Air Freighters","AP406"
"Silverback Cargo Freighters","AP998"
"Eastern Executive Air Charter","AP770"
"Aerocenter","AP108"
"Juanda Flying School","AP314"
"Transwings","AP576"
"Widerøe","AP523"
"East African","AP989"
"Ivoire Airways","AP921"
"Japan Air System","AP2"
"State Unitary Air Enterprise","AP910"
"Ibex Airlines","AP882"
"Cairo Air Transport Company","AP924"
"Ramp 66","AP615"
"Belair Airlines","AP990"
"Aerobanana","AP92"
"Transpais Aereo","AP776"
"Markoss Aviation","AP734"
"Royal New Zealand Air Force","AP114"
"SkyWest","AP922"
"Orel State Air Enterprise","AP362"
"Ilyich-Avia","AP644"
"Trans-Air-Congo","AP909"
"Air Cassai","AP899"
"Weasua Air Transport Company","AP888"
"Aerovuelox","AP205"
"Hydro-Québec","AP105"
"New England Air Express","AP277"
"Antanik-Air","AP819"
"IPM Europe","AP256"
"Japan Regio","AP573"
"Mesaba Airlines","AP84"
"CARICOM AIRWAYS (BARBADOS) INC.","AP545"
"Talon Air","AP652"
"Servicio Aereo Regional Regair","AP575"
"Airwork","AP718"
"Spirit of Africa Airlines","AP167"
"Air-Invest","AP450"
"Jana-Arka","AP590"
"Aero Biniza","AP706"
"TRAM","AP228"
"DGO Jet","AP70"
"Servicios Aereos Palenque","AP961"
"India International Airways","AP834"
"Africair Service","AP6"
"C Air Jet Airlines","AP92"
"Blom Geomatics","AP78"
"RegionsAir","AP42"
"Air ALM","AP746"
"Nigerian Air Force","AP775"
"Skyplan Services","AP158"
"Ministic Air","AP651"
"Orenburg Airlines","AP780"
"Nouvel Air Tunisie","AP941"
"Freshaer","AP107"
"Thai Smile Airways","AP881"
"FLowair Aviation","AP31"
"Alexandair","AP708"
"Ibicenca Air","AP96"
"Aerial Transit Company","AP706"
"Apache Air","AP444"
"Malta Air Charter","AP399"
"Slim Aviation Services","AP999"
"Solar Air","AP138"
"Hellenic Imperial Airways","AP90"
"Bearskin Lake Air Service","AP258"
"Tepavia-Trans Airlines","AP38"
"AeroTACA","AP477"
"Aviaprad","AP19"
"Kallat El Saker Air Company","AP966"
"FLYJET","AP407"
"Aviation North","AP816"
"Air Togo","AP225"
"Aviones Unidos","AP983"
"Kurzemes Avio","AP322"
"Sterling Helicopters","AP660"
"Bobb Air Freight","AP730"
"Panorama Flight Service","AP476"
"Air Sandy","AP805"
"Interport Corporation","AP47"
"RPA-Aviataxi Ltd.","AP139"
"Via Conectia Airlines","AP804"
"Northern Executive Aviation","AP661"
"CHC Airways","AP804"
"Star XL German Airlines","AP876"
"Aero Premier De Mexico","AP847"
"Nelson Aviation College","AP236"
"Aerolineas Del Pacifico","AP72"
"Malta Wings","AP934"
"Trans-Air-Congo","AP857"
"Cowi","AP185"
"Travel Service","AP750"
"Pannon Air Service","AP957"
"Air Caledonie International","AP73"
"Elite Jets","AP533"
"Qatar Airways","AP46"
"Point Airlines","AP828"
"NordStar Airlines","AP388"
"Krym","AP709"
"Aerotropical","AP740"
"Westflight Aviation","AP238"
"Boeing","AP368"
"Bemidji Airlines","AP74"
"Southern Airways Express","AP190"
"Bowman Aviation","AP476"
"Euro Sun","AP593"
"Federal Aviation Administration","AP8"
"Mobil Oil","AP707"
"Kuban Airlines","AP649"
"Mowhawk Airlines","AP543"
"Active Aero Charter","AP639"
"Air Cargo Germany","AP1000"
"Pamir Airways","AP89"
"Air Yugoslavia","AP976"
"Martin Aviation Services","AP631"
"Mimino","AP69"
"Afriqiyah Airways","AP213"
"Berkut Air","AP292"
"Ildefonso Redriguez","AP192"
"South African Air Force","AP507"
"Jetex Aviation","AP164"
"GB Airlink","AP59"
"Air Metack","AP423"
"Royal Jet","AP721"
"American Flyers","AP674"
"Mina Airline Company","AP485"
"Royal Air Maroc","AP256"
"Campania Helicopteros De Transporte","AP261"
"Eastern Metro Express","AP969"
"Astar Air Cargo","AP336"
"National Jet Service","AP91"
"Century Aviation International","AP704"
"British Mediterranean Airways","AP710"
"Regional 1","AP450"
"Southeast Airlines (Sun Jet International)","AP664"
"Cougar Helicopters","AP696"
"Ozjet Airlines","AP410"
"Excel Charter","AP13"
"Svenska Direktflyg","AP543"
"Maverick Airways","AP563"
"All Star Airlines","AP797"
"Buzz Stansted","AP409"
"Morningstar Air Express","AP487"
"Grossmann Air Service","AP178"
"ACEF","AP384"
"Meridian","AP360"
"Hydro-Québec","AP598"
"Royal Air Maroc","AP587"
"V Air","AP689"
"XP Internation","AP716"
"Probiz Guinee","AP998"
"United Eagle Airlines","AP634"
"Hokkaido International Airlines","AP219"
"Norwegian Aviation College","AP955"
"Free Bird Airlines","AP353"
"Samara Airlines","AP249"
"Meteorological Research Flight","AP789"
"Flying Dolphin Airlines","AP245"
"Air Italy","AP341"
"Bergen Air Transport","AP438"
"Wright Air Service","AP568"
"Tiramavia","AP202"
"Fumigacion Aerea Andaluza","AP402"
"Hozu-Avia","AP572"
"International Trans-Air","AP883"
"Pacific Flier","AP252"
"Vueling Airlines","AP983"
"Servant Air","AP148"
"Myflug","AP297"
"Visig Operaciones Aereas","AP643"
"Transavia Denmark","AP449"
"Fly540","AP143"
"Luft Carago","AP860"
"Turkish Wings Domestic","AP42"
"Petropavlovsk-Kamchatsk Air Enterprise","AP818"
"Azov Avia Airlines","AP213"
"Mountain Air Cargo","AP937"
"ACA-Ancargo Air Sociedade de Transporte de Carga Lda","AP565"
"Mistral Air","AP730"
"Aladia Airlines","AP586"
"L J Aviation","AP595"
"Branson Airlines","AP830"
"Space World Airline","AP444"
"Ivoire Aero Services","AP355"
"Wings Air","AP487"
"Gerry's Dnata","AP794"
"Sonnig SA","AP353"
"SAAB-Aircraft","AP44"
"Compania de Servicios Aereos Tavisa","AP633"
"Opal Air","AP139"
"Eastern Air","AP30"
"BAL Bashkirian Airlines","AP853"
"WRA Inc","AP909"
"Wind Rose Aviation","AP970"
"Horizon Airlines","AP373"
"Balear Express","AP768"
"Air Uganda International Ltd.","AP795"
"Mountain Bird","AP784"
"Enkor JSC","AP933"
"Flybaboo","AP916"
"Juba Cargo Services & Aviation Company","AP348"
"Angkor Airways","AP399"
"Airvantage Incorporated","AP193"
"Aviacao Transportes Aereos e Cargas","AP257"
"Fly One","AP641"
"Nayzak Air Transport","AP955"
"Lone Star Airlines","AP90"
"Slovak Air Force","AP743"
"Cargolux","AP844"
"Aerolineas De Morelia","AP451"
"Capitol Wings Airline","AP869"
"IVV Femida","AP384"
"All America CL","AP871"
"Wayraper","AP787"
"Trans-Kiev","AP73"
"Komiinteravia","AP162"
"Boscombe Down DERA (Formation)","AP228"
"Avia Business Group","AP890"
"IVV Femida","AP161"
"Bluebird Airways (BZ)","AP336"
"Metro Batavia","AP605"
"Antair","AP502"
"RA Jet Aeroservicios","AP655"
"Aerotrans Airline","AP672"
"Nefteyugansk Aviation Division","AP47"
"Interlink Airlines","AP158"
"Japan Asia Airways","AP795"
"Switfair Cargo","AP541"
"Aero Taxi del Centro de Mexico","AP883"
"Unitemp-M","AP629"
"Jet Stream","AP993"
"Tal Air Charters","AP544"
"Monky Aerotaxis","AP778"
"Eastern Sky Jets","AP700"
"Service People Gesselschaft fur Charter und Service","AP904"
"Aero Servicios Ejecutivas Del Pacifico","AP665"
"Sunline Express","AP498"
"Transglobal Airways Corporation","AP645"
"Central Connect Airlines","AP706"
"Flamingo Air-Line","AP558"
"African Medical and Research Foundation","AP950"
"Air Inuit","AP415"
"Air Tahiti","AP496"
"Regional Paraguaya","AP570"
"Finnish Air Force","AP166"
"Khalifa Airways","AP406"
"Krasnojarsky Airlines","AP49"
"Seoul Air International","AP569"
"Rossiya-Russian Airlines","AP487"
"Leonsa De Aviacion","AP106"
"Altair Aviation (1986)","AP276"
"Air Bucharest","AP549"
"Gail Force Express","AP954"
"Air Maldives","AP130"
"TransHolding","AP930"
"Aereo Taxi Paraza","AP360"
"Corendon Airlines","AP909"
"Blue Sky Aviation","AP879"
"Trans Guyana Airways","AP575"
"Canadian Coast Guard","AP34"
"Metro Express","AP812"
"DHL de Guatemala","AP273"
"USA3000 Airlines","AP100"
"Hak Air","AP953"
"Heli-Iberica","AP774"
"Aero Taxi Aviation","AP125"
"Executive Airlines Services","AP809"
"Medjet International","AP164"
"Servicios Aereos Ilsa","AP248"
"Euroline","AP73"
"Cherry Air","AP406"
"Orient Air","AP445"
"Porter Airlines","AP150"
"European Coastal Airlines","AP855"
"Serbian Airlines","AP223"
"Atyrau Air Ways","AP314"
"Skyrover CC","AP699"
"Jet Suite","AP400"
"Jet East International","AP392"
"Air Maldives","AP583"
"Trabajos Aereos Murcianos","AP800"
"TNT International Aviation","AP870"
"Japan Airlines","AP23"
"Tranporte Amazonair","AP458"
"Rubystar","AP76"
"Police Aviation Services","AP620"
"Yellowstone Club Private Shuttle","AP90"
"Aeromedicare Ltd.","AP146"
"Espace Aviation Services","AP695"
"Sabang Merauke Raya Air Charter","AP709"
"Neiltown Air","AP497"
"Tenir Airlines","AP276"
"easyJet","AP633"
"Trail Lake Flying Service","AP319"
"Dagestan Airlines","AP87"
"Air Resorts","AP904"
"Buddha Air","AP293"
"Thai Aviation Services","AP866"
"Fairlines","AP164"
"Hankook Air US","AP910"
"United States Air Force","AP481"
"Northwinds Northern","AP129"
"Zimex Aviation","AP222"
"Anikay Air Company","AP155"
"New York Helicopter","AP678"
"Mauritania Airlines International","AP199"
"Pont International Airline Services","AP706"
"Aero Services Executive","AP170"
"Aero Copter","AP846"
"Avioimpex A.D.p.o.","AP745"
"Nihon.jet","AP11"
"Aerotaxis Cimarron","AP355"
"Geesair","AP931"
"JS Air","AP891"
"Zabaykalskii Airlines","AP678"
"Aerotec","AP352"
"AF-Air International","AP988"
"Trans Air-Benin","AP908"
"Jagson Airlines","AP18"
"Rosneft-Baltika","AP692"
"Servicios Aereos Poblanos","AP969"
"Great American Airways","AP873"
"G5 Executive","AP723"
"Libyan Airlines","AP723"
"Michael Airlines","AP893"
"Air Caraïbes","AP767"
"Fokker","AP473"
"Avcard Services","AP648"
"Presidencia de La Republica de Guinea Ecuatorial","AP667"
"Centurion Air Cargo","AP26"
"MAT Macedonian Airlines","AP800"
"Tarhan Tower Airlines","AP399"
"Euroguineana de Aviacion","AP127"
"Aero Rent JSC","AP657"
"New Zealand Air Defence Force","AP819"
"Manitoulin Air Services","AP363"
"GoldAir","AP839"
"Air Plan International","AP778"
"Bistair - Fez","AP277"
"Alitalia Cityliner","AP894"
"Cardiff Wales Flying Club","AP114"
"Air Intersalonika","AP745"
"Soonair Lines","AP94"
"Ross Aviation","AP352"
"Gesekkschaft Fur Flugzieldarstellung","AP600"
"Kyrgyzstan Department of Aviation","AP781"
"TRAGSA (Medios Aereos)","AP984"
"Inter Express","AP310"
"ASECNA","AP707"
"Pegasus Airlines","AP85"
"Aeroservicios Ejecutivos Corporativos","AP660"
"Air Yugoslavia","AP607"
"Tesis","AP893"
"Air Cess","AP196"
"Dwyer Aircraft Services","AP862"
"International Air Carrier Association","AP782"
"Jetcorp","AP22"
"Whitejets","AP670"
"Fleet Requirements Air Direction Unit","AP241"
"Onetime Airlines Zambia","AP225"
"Leo-Air","AP932"
"Voronezhskie Airlanes","AP271"
"Time Air","AP157"
"Sharjah Ruler's Flight","AP822"
"Eagle Aviation","AP963"
"Transwest Air","AP265"
"Starspeed","AP412"
"Advance Aviation Services","AP537"
"2 Sqn No 1 Elementary Flying Training School","AP119"
"Linhas A","AP279"
"Hong Kong Airlines","AP41"
"XPTO","AP206"
"Aeroservicios Intergrados de Norte","AP304"
"Aerolineas De El Salvador","AP280"
"Scottish Airways Flyers","AP309"
"Go Air","AP718"
"BAL Bashkirian Airlines","AP907"
"Spicejet","AP178"
"Aeromedica","AP523"
"Airmark Aviation","AP310"
"Estafeta Carga Aerea","AP555"
"Gazpromavia","AP775"
"Ayeet Aviation & Tourism","AP940"
"Aero Vics","AP165"
"Aram Airline","AP882"
"General Motors","AP55"
"Aerolineas Amanecer","AP533"
"McAlpine Helicopters","AP527"
"Sioux Falls Aviation","AP901"
"British Airways","AP507"
"Kato Airline","AP776"
"Cathay Pacific","AP40"
"West Caribbean Costa Rica","AP560"
"Click Airways","AP499"
"Euro Sun","AP423"
"Air Taxi & Cargo","AP29"
"Luxaviation","AP854"
"Pineapple Air","AP782"
"Norwegian Aviation College","AP384"
"Trans-Florida Airlines","AP88"
"Chari Aviation Services","AP396"
"Flying kangaroo Airline","AP898"
"Air Alps Aviation (A6)","AP190"
"White Eagle Aviation","AP111"
"Aeropro","AP205"
"Comfort Express Virtual Charters Albany","AP240"
"Verataxis","AP734"
"Transmed Airlines","AP706"
"AirAsia Japan","AP626"
"Keenair Charter -","AP646"
"West Air China","AP911"
"Rocky Mountain Airlines","AP932"
"C Air Jet Airlines","AP473"
"Sun Quest Executive Air Charter","AP983"
"DAS Air Cargo","AP832"
"Air Print","AP343"
"Golden Pacific Airlines","AP982"
"ICC Canada","AP377"
"Pacific Island Aviation","AP771"
"Hamra Air","AP176"
"Punto Fa","AP642"
"Bingo Airways","AP10"
"Execujet Middle East","AP6"
"L J Aviation","AP677"
"J-Air","AP141"
"Karat","AP589"
"JAL Express","AP279"
"Dniproavia","AP546"
"Aerolineas Africanas","AP721"
"Mission Aviation Fellowship","AP247"
"Interisland Airways Limited","AP828"
"Air Data","AP874"
"Servicios Aereos Profesionales","AP263"
"Williams Air","AP927"
"Office Federal De'Aviation Civile","AP915"
"Vacationair","AP804"
"Kwena Air","AP282"
"Polet Airlines (Priv)","AP336"
"Rotana Jet","AP710"
"Dexter (DXT)","AP480"
"Royal West Airlines","AP188"
"Australian air Express","AP810"
"Locair","AP298"
"Niki","AP717"
"Aeromedica","AP227"
"Bringer Air Cargo Taxi Aereo","AP634"
"Pacific Jet","AP517"
"Bundepolizei-Fliegertruppe","AP613"
"Blue Airlines","AP308"
"Servicios Aereos Tamazula","AP109"
"Hankook Air US","AP82"
"Kyrgz General Aviation","AP275"
"Interisland Airlines","AP387"
"Aero Jet Express","AP900"
"Red Jet America","AP92"
"FOX Linhas Aereas","AP325"
"Tramson Limited","AP158"
"Colt International","AP789"
"Shovkoviy Shlyah","AP546"
"Scoot","AP749"
"JMC Airlines","AP977"
"Swissboogie Parapro","AP419"
"Cargo Express","AP880"
"Taxirey","AP294"
"Air D'Ayiti","AP192"
"Touraine Helicoptere","AP910"
"Servant Air","AP840"
"Martin-Baker","AP197"
"Fly Wex","AP654"
"Air Contractors","AP817"
"Polar Air Cargo","AP652"
"Switfair Cargo","AP973"
"Musrata Air Transport","AP986"
"buzz","AP764"
"Air Transat","AP840"
"PLUNA","AP843"
"Mombasa Air Safari","AP107"
"Air Consul","AP744"
"Great Wall Airlines","AP167"
"Bringer Air Cargo Taxi Aereo","AP132"
"Air Alpha Greenland","AP960"
"Royal European Airlines","AP497"
"Malila Airlift","AP570"
"President Airlines","AP994"
"Great Lakes Airways (Uganda)","AP470"
"Silver Airways (3M)","AP50"
"Aeroitalia","AP415"
"Sheba Aviation","AP183"
"Diamond Aviation","AP507"
"Avita-Servicos Aereos","AP212"
"Midwest Airlines (Egypt)","AP381"
"Servicios Aereos Premier","AP58"
"Viking Hellas","AP289"
"CCF Manager Airline","AP533"
"Holiday Airlines","AP909"
"Flygtransporter I Nykoping","AP446"
"National Jet Express","AP769"
"AirAsia X","AP518"
"Atlantic Air Cargo","AP65"
"Clowes Estates Limited","AP963"
"VHM Schul-und-Charterflug","AP993"
"Aerolineas Amanecer","AP508"
"Caverton Helicopters","AP466"
"Hapagfly","AP151"
"Transportes Aereos de Ixtlan","AP561"
"Aero Trades (Western) Ltd.","AP879"
"Monde Air Charters","AP1"
"Africa Freight Services","AP261"
"Regent Air","AP971"
"Avialift Vladivostok","AP80"
"Aero Freight","AP86"
"Slovenian Armed Forces","AP519"
"Stuttgarter Flugdienst","AP893"
"Government Flying Service","AP6"
"Carroll Air Service","AP5"
"State of Nebraska","AP611"
"Elieuro","AP116"
"Pace Airlines","AP314"
"First Flying","AP185"
"CTK Network Aviation","AP802"
"Aeroclub Flaps","AP32"
"Alghanim","AP142"
"Aerocharter","AP568"
"Royal Flight","AP845"
"Northern Dene Airways","AP15"
"Chippewa Air Commuter","AP317"
"Resort Air","AP796"
"Servicios Aereos Expecializados En Transportes Petroleros","AP543"
"Ivoire Airways","AP476"
"David Crawshaw Consultants Limited","AP769"
"ABSA - Aerolinhas Brasileiras","AP231"
"Pacific Coast Airlines","AP787"
"Air Nippon Network Co. Ltd.","AP951"
"Tomsk-Avia","AP902"
"Aero Barloz","AP547"
"Senegal Airlines","AP805"
"Air Almaty","AP556"
"Bowman Aviation","AP940"
"Bergen Air Transport","AP461"
"Airwing","AP601"
"Snowbird Airlines","AP760"
"USA3000 Airlines","AP568"
"Kinnarps","AP458"
"Servant Air","AP750"
"Phoebus Apolloa Zambia","AP675"
"Rivne Universal Avia","AP243"
"JAL Express","AP662"
"Servicios Aereos Noticiosos","AP288"
"Walmart Aviation","AP14"
"AASANA","AP338"
"Isle Grande Flying School","AP679"
"Civil Air Patrol South Carolina Wing","AP145"
"Aerogroup 98 Limited","AP763"
"International Charter Services","AP855"
"Embassy Freight Company","AP680"
"Flight Inspections and Systems","AP275"
"Civil Air Patrol South Carolina Wing","AP328"
"International Committee of the Red Cross","AP517"
"Evergreen International Airlines","AP788"
"Airlink Airways","AP984"
"Tigerfly","AP394"
"Euro-Asia Air","AP671"
"Aerolitoral","AP37"
"Air Alize","AP463"
"Southwest Airlines","AP814"
"Key Airlines","AP489"
"Springbank Aviation","AP942"
"Helicopteros Aero Personal","AP385"
"Kinnarps","AP175"
"Airest","AP533"
"Gull Air","AP374"
"Pointair Burkina","AP833"
"Swissair","AP847"
"Midway Express","AP628"
"Thunder Airlines","AP688"
"Jetran Air","AP43"
"Aviaservice","AP550"
"Aerotal Aerolineas Territoriales de Colombia Ltda","AP825"
"TEA Switzerland","AP474"
"Donair Flying Club","AP707"
"Egyptair","AP728"
"Dos Mundos","AP584"
"Transilvania","AP49"
"Jana-Arka","AP31"
"Tajikair","AP543"
"Servicio De Viglancia Aerea Del Ministerio De Seguridad Publica","AP842"
"Yak-Service","AP349"
"Bemidji Airlines","AP11"
"Pacific Island Aviation","AP526"
"Justair Scandinavia","AP178"
"Tropair Airservices","AP737"
"Gulf & Caribbean Cargo / Contract Air Cargo","AP879"
"Trinity Air Bahamas","AP674"
"European Aeronautical Group UK","AP93"
"Semeyavia","AP739"
"Kata Transportation","AP917"
"Southport Air Service","AP419"
"Air Montenegro","AP855"
"Aerolineas Aereas Ejecutivas De Durango","AP558"
"East Horizon","AP531"
"Sunwest Aviation (Lindquist Investment)","AP483"
"Lake Havasu Air Service","AP623"
"Air Malta","AP515"
"Dos Mundos","AP173"
"Victor Echo","AP666"
"Aero Servicios Platinum","AP398"
"Aero Continente Dominicana","AP735"
"Crimea Universal Avia","AP371"
"Berkut Air","AP344"
"British Airways","AP960"
"Blue Sky Aviation","AP42"
"K S Avia","AP225"
"Company Flight","AP684"
"Socofer","AP578"
"Ukrainian State Air Traffic Service Enterprise","AP989"
"Sheltam Aviation","AP657"
"Fun Flying Thai Air Service","AP358"
"Canadian World","AP308"
"NAV CANADA","AP31"
"Aero-Tropics Air Services","AP625"
"Cirrus","AP946"
"PHH Aviation System","AP658"
"Rio Sul Servi","AP79"
"Regal Bahamas International Airways","AP774"
"Ibertour Servicios Aereos","AP20"
"Aerovias Bueno","AP81"
"North-East Airlines","AP568"
"Pegasus Airlines","AP244"
"A-Safar Air Services","AP642"
"Camai Air","AP94"
"Aeroejecutiva Nieto","AP785"
"Tramon Air","AP640"
"Newfoundland Labrador Air Transport","AP846"
"North Atlantic Air Inc","AP872"
"Cameroon Airlines","AP406"
"Challenge International Airlines","AP478"
"Independent Air Freighters","AP441"
"Albatros Airways","AP60"
"Aerocozumel","AP809"
"Air Evex","AP662"
"Special Scope Limited","AP265"
"Air Pack Express","AP623"
"Compania Boliviana de Transporte Aereo Privado Aerosur","AP826"
"Fine Airlines","AP247"
"Servicios Aeronauticos De Oriente","AP246"
"Wings of Lebanon Aviation","AP320"
"Aero Aviation Centre Ltd.","AP884"
"C N Air","AP340"
"Menajet","AP636"
"Valuair","AP753"
"National Air Traffic Services","AP673"
"Swe Fly","AP264"
"Butte Aviation","AP673"
"Royal Southern Airlines.","AP347"
"Lviv Airlines","AP306"
