"tratta","data_istanza","aeroplano","numero_posti_rimanenti"
"T18","2015-12-30","AP425",143
"T43","2000-04-21","AP660",22
"T40","2014-04-27","AP924",32
"T19","2014-07-18","AP812",172
"T41","2015-12-04","AP75",222
"T21","1997-11-10","AP809",89
"T46","1999-09-01","AP278",82
"T50","2013-06-16","AP109",41
"T19","2019-10-17","AP831",34
"T42","1996-10-10","AP742",28
"T31","1995-11-03","AP877",38
"T26","2000-01-08","AP350",39
"T8","2009-06-01","AP142",114
"T39","1994-09-05","AP416",113
"T9","2011-04-02","AP715",22
"T7","2011-05-19","AP773",34
"T46","2007-02-21","AP608",66
"T27","2008-04-19","AP721",40
"T8","1992-09-22","AP860",16
"T6","2013-03-17","AP336",112
"T18","2014-10-14","AP330",38
"T26","2006-04-05","AP354",159
"T45","2009-09-21","AP319",15
"T30","2003-01-29","AP7",159
"T10","2012-04-12","AP632",383
"T4","2003-05-25","AP378",4
"T38","2020-05-03","AP789",34
"T29","2011-02-20","AP189",24
"T8","2017-03-27","AP124",34
"T44","1994-08-04","AP738",62
"T34","1993-04-22","AP764",10
"T49","2006-04-26","AP996",13
"T47","2005-08-18","AP535",106
"T46","2002-11-02","AP718",120
"T29","2012-10-30","AP533",26
"T38","2014-08-19","AP57",9
"T20","2003-11-10","AP973",1
"T3","2005-10-06","AP655",11
"T27","2005-05-26","AP370",131
"T41","2013-08-18","AP563",19
"T40","1992-04-23","AP664",91
"T1","2009-03-19","AP439",21
"T33","1999-09-10","AP253",20
"T31","2002-02-15","AP161",15
"T9","2006-01-21","AP329",10
"T20","2000-05-22","AP618",15
"T11","1993-12-29","AP963",79
"T13","2017-07-10","AP89",19
"T40","2009-04-12","AP987",8
"T14","1990-11-30","AP549",109
"T48","1991-01-09","AP146",126
"T47","2007-12-03","AP806",83
"T10","2007-03-31","AP686",15
"T44","2005-10-28","AP21",37
"T37","2001-12-21","AP636",1
"T7","2002-06-30","AP991",59
"T17","2004-09-30","AP991",22
"T10","1993-09-03","AP109",147
"T24","2010-04-14","AP504",60
"T18","1994-08-25","AP966",165
"T30","1996-08-07","AP198",26
"T14","1990-08-03","AP911",2
"T49","2012-04-02","AP951",2
"T3","2004-08-23","AP357",97
"T50","2003-08-15","AP199",26
"T19","1998-10-24","AP302",28
"T38","2000-11-09","AP777",60
"T41","2001-10-23","AP838",18
"T21","2011-03-05","AP848",1
"T29","2014-06-28","AP151",26
"T33","2017-05-02","AP735",99
"T11","2019-08-12","AP216",36
"T46","2003-12-02","AP397",141
"T34","2004-11-23","AP13",34
"T46","2017-08-17","AP555",82
"T19","2010-06-18","AP288",59
"T19","2007-03-08","AP785",20
"T40","1999-12-18","AP682",12
"T3","2017-01-20","AP125",39
"T26","1990-03-05","AP422",38
"T3","1993-08-11","AP511",30
"T39","2015-02-04","AP178",38
"T24","2009-09-22","AP92",70
"T25","1990-04-01","AP991",18
"T46","1991-03-21","AP3",7
"T40","2020-02-27","AP785",66
"T43","2002-02-07","AP176",55
"T32","1995-01-22","AP473",54
"T43","2009-04-02","AP759",90
"T35","2006-10-12","AP650",13
"T27","2002-03-14","AP336",49
"T40","1991-01-28","AP799",6
"T21","2015-04-21","AP486",181
"T49","1992-03-23","AP247",19
"T24","1992-03-26","AP252",142
"T2","2014-03-03","AP737",22
"T31","1996-05-26","AP806",13
"T18","1993-06-17","AP96",33
"T16","1997-05-20","AP118",49
"T19","1994-12-30","AP301",17
"T30","2011-03-28","AP339",22
"T20","2000-10-19","AP622",50
"T13","1994-01-17","AP154",2
"T12","1995-09-06","AP482",60
"T36","1995-06-05","AP68",26
"T19","2010-04-06","AP739",126
"T11","2017-11-12","AP286",14
"T15","1990-05-10","AP866",20
"T1","2015-11-27","AP889",208
"T22","1992-12-19","AP721",22
"T46","2003-12-07","AP3",70
"T8","2002-12-10","AP677",21
"T8","2005-01-12","AP882",1
"T18","2019-11-18","AP196",27
"T42","2016-10-20","AP151",15
"T24","1999-06-17","AP541",17
"T29","2020-10-16","AP118",166
"T30","2011-05-07","AP418",76
"T12","2013-03-04","AP371",13
"T36","2002-10-31","AP611",29
"T43","2000-06-29","AP141",19
"T23","2015-08-14","AP409",5
"T32","2004-09-23","AP190",65
"T20","2012-07-04","AP879",76
"T15","2009-07-01","AP254",57
"T42","2004-06-04","AP175",34
"T4","2015-02-05","AP975",39
"T37","2008-08-04","AP966",123
"T31","2009-01-06","AP209",317
"T1","2001-03-05","AP582",40
"T27","1999-11-19","AP357",46
"T12","1991-12-13","AP908",164
"T39","2011-09-15","AP464",262
"T24","1996-02-05","AP765",51
"T27","2000-09-29","AP692",5
"T26","2009-06-13","AP385",104
"T21","1995-01-28","AP35",9
"T6","2020-08-24","AP673",81
"T4","2017-09-13","AP1",6
"T22","2002-03-27","AP633",188
"T48","2015-05-13","AP182",9
"T43","2000-12-06","AP292",39
"T13","1994-01-19","AP594",9
"T23","1996-08-22","AP360",9
"T1","2016-11-29","AP96",36
"T6","2014-01-19","AP540",11
"T35","2003-12-09","AP809",6
"T18","1999-01-16","AP272",22
"T17","2015-05-15","AP477",103
"T45","1994-01-28","AP533",6
"T31","2007-10-15","AP376",155
"T5","1991-07-16","AP526",51
"T23","2015-07-19","AP651",54
"T32","2000-05-14","AP509",103
"T23","2019-06-05","AP577",43
"T27","1995-07-01","AP415",2
"T41","2010-08-16","AP520",130
"T38","2007-08-04","AP947",119
"T24","2011-10-23","AP581",26
"T29","2010-12-17","AP927",33
"T16","2012-12-28","AP622",21
"T23","2017-12-25","AP348",131
"T30","2008-01-21","AP492",22
"T34","2018-06-14","AP516",31
"T19","2015-09-21","AP621",22
"T4","2011-04-23","AP796",30
"T39","2003-01-21","AP846",40
"T7","2007-07-26","AP805",43
"T25","1995-10-04","AP854",31
"T8","2014-11-18","AP701",31
"T3","2006-10-18","AP915",12
"T17","1991-12-31","AP623",48
"T47","2009-11-08","AP192",46
"T44","1999-09-09","AP664",75
"T47","2003-07-19","AP116",18
"T32","1998-08-19","AP390",8
"T4","1996-03-29","AP214",43
"T1","2017-07-16","AP802",183
"T37","2005-02-11","AP269",16
"T46","2003-12-18","AP191",9
"T18","1993-10-25","AP922",10
"T17","2016-07-13","AP475",50
"T42","2007-01-09","AP819",44
"T36","1998-10-20","AP68",20
"T35","2008-03-18","AP224",11
"T9","2001-03-11","AP626",105
"T26","2009-01-14","AP469",11
"T27","2019-12-22","AP888",112
"T20","2000-03-23","AP490",48
"T25","1997-11-26","AP72",16
"T2","2016-09-17","AP577",24
"T24","1993-05-17","AP605",44
"T25","2002-12-28","AP825",28
"T46","2011-07-27","AP11",274
"T44","2016-10-25","AP590",3
"T5","1999-01-29","AP20",25
"T11","2000-05-17","AP841",42
"T41","2016-11-10","AP332",27
"T38","2002-05-10","AP286",4
"T41","1994-07-15","AP659",2
"T37","2015-05-04","AP668",23
"T38","2015-12-22","AP703",62
"T1","1996-12-13","AP119",28
"T21","1999-07-07","AP583",130
"T40","1991-05-04","AP443",33
"T32","1997-02-03","AP341",40
"T23","2008-01-26","AP233",45
"T31","2008-05-26","AP488",1
"T49","2006-02-09","AP505",11
"T21","2018-07-12","AP79",14
"T22","2012-03-10","AP96",23
"T29","2014-08-01","AP848",4
"T25","2000-01-08","AP279",12
"T50","2011-05-07","AP669",25
"T34","1991-09-18","AP430",441
"T27","1995-12-05","AP72",4
"T13","2000-02-09","AP388",59
"T17","1999-12-27","AP627",145
"T45","2013-06-20","AP851",14
"T12","2015-11-11","AP791",76
"T12","1996-08-28","AP304",41
"T36","2006-08-16","AP547",37
"T15","2005-10-01","AP519",17
"T14","2019-08-25","AP196",22
"T39","1997-05-16","AP915",40
"T6","2009-05-21","AP200",59
"T18","2009-05-12","AP297",48
"T10","2007-10-31","AP637",35
"T13","2000-08-27","AP506",38
"T23","2019-09-03","AP710",4
"T2","1999-01-14","AP563",67
"T14","1994-03-22","AP568",34
"T42","2014-09-03","AP516",104
"T17","2019-08-19","AP727",38
"T33","2002-08-28","AP576",14
"T18","2001-10-21","AP487",16
"T18","1996-08-30","AP381",29
"T30","1998-05-06","AP315",19
"T39","2013-04-24","AP453",46
"T50","1999-02-23","AP75",138
"T12","1996-07-19","AP817",117
"T10","2002-06-01","AP404",19
"T17","2007-11-28","AP600",63
"T3","1994-04-10","AP231",62
"T20","2015-09-30","AP707",75
"T42","2004-05-18","AP774",131
"T26","1994-08-23","AP57",49
"T33","2015-11-02","AP392",17
"T29","2006-12-01","AP384",227
"T19","2000-03-30","AP641",3
"T10","1990-06-17","AP137",127
"T12","2016-08-17","AP870",167
"T44","2018-07-21","AP707",72
"T13","1993-10-12","AP180",6
"T33","1992-05-01","AP977",18
"T39","1992-04-28","AP494",144
"T33","2015-07-07","AP768",40
"T12","1999-10-04","AP277",28
"T17","2006-02-17","AP11",221
"T38","1991-02-14","AP561",63
"T16","1993-07-08","AP468",145
"T43","2019-03-05","AP116",10
"T15","2005-08-10","AP488",19
"T46","2003-08-29","AP573",15
"T46","2007-02-20","AP873",107
"T35","1994-12-22","AP986",42
"T29","2012-07-25","AP867",58
"T27","1999-06-11","AP827",212
"T36","2013-06-15","AP670",23
"T12","1990-05-26","AP844",71
"T12","1992-09-22","AP701",20
"T18","2016-04-07","AP711",32
"T26","1995-10-23","AP528",9
"T17","2012-09-20","AP147",21
"T24","2016-02-28","AP767",25
"T33","1993-04-26","AP667",15
"T1","2000-10-31","AP203",12
"T45","1999-07-08","AP938",21
"T42","2000-12-18","AP53",23
"T8","2007-04-11","AP776",86
"T27","2008-04-17","AP108",204
"T15","2010-04-16","AP156",22
"T17","1998-04-02","AP389",61
"T9","2019-09-14","AP199",24
"T26","1990-08-10","AP987",30
"T23","1990-01-23","AP942",1
"T41","2007-07-10","AP603",35
"T48","1995-04-05","AP495",28
"T36","2012-08-03","AP479",65
"T42","2000-01-02","AP23",27
"T35","1996-10-15","AP13",38
"T31","2015-07-26","AP187",64
"T37","2009-03-01","AP901",53
"T12","1992-10-02","AP250",25
"T27","1990-12-19","AP115",70
"T23","2019-06-26","AP332",13
"T29","2014-01-20","AP788",146
"T14","2019-05-30","AP254",99
"T30","1994-04-26","AP153",274
"T7","1993-10-21","AP75",96
"T31","2009-08-20","AP838",11
"T32","2013-06-10","AP957",8
"T41","1992-05-18","AP511",18
"T9","1995-12-26","AP316",105
"T44","2002-10-16","AP194",18
"T29","2000-07-12","AP53",24
"T18","2000-02-02","AP874",9
"T1","2010-05-04","AP424",60
"T18","1995-07-26","AP665",10
"T5","2018-11-30","AP623",72
"T29","1997-12-15","AP675",49
"T7","2010-09-05","AP56",213
"T38","2007-07-22","AP991",84
"T1","2000-05-07","AP397",98
"T16","2001-02-08","AP902",172
"T30","2008-10-17","AP16",27
"T48","2004-10-12","AP205",30
"T22","2007-11-06","AP593",1
"T29","2005-03-21","AP76",19
"T10","1994-10-30","AP480",391
"T6","1998-06-26","AP44",27
"T8","2019-08-02","AP379",11
"T29","1991-01-28","AP364",39
"T12","1998-06-07","AP394",52
"T13","2012-08-28","AP565",54
"T31","2009-12-13","AP121",6
"T8","2015-10-23","AP500",53
"T26","2004-09-05","AP102",14
"T13","2020-12-27","AP31",146
"T50","2017-11-24","AP553",52
"T17","2013-10-19","AP137",27
"T19","2020-07-05","AP404",8
"T6","1993-01-25","AP256",2
"T46","2004-09-03","AP532",2
"T18","1995-09-28","AP198",37
"T3","2005-09-30","AP259",44
"T27","2012-03-11","AP788",113
"T29","2004-07-19","AP218",24
"T19","2005-10-12","AP99",99
"T40","1995-01-16","AP250",8
"T31","1995-06-28","AP437",99
"T1","2007-11-26","AP488",10
"T38","2009-05-03","AP372",405
"T5","1991-04-21","AP655",23
"T22","2000-06-30","AP951",1
"T11","1997-03-07","AP454",34
"T42","1997-12-05","AP424",9
"T3","2007-07-27","AP833",92
"T28","1999-04-18","AP59",23
"T8","2003-12-26","AP836",48
"T50","1997-01-01","AP132",14
"T21","1996-10-24","AP316",59
"T31","2020-08-01","AP705",3
"T18","2018-05-09","AP408",15
"T1","2012-12-01","AP860",5
"T15","2014-03-12","AP719",6
"T2","2017-04-09","AP724",43
"T14","1990-07-16","AP65",7
"T30","2017-01-13","AP704",17
"T14","1993-12-25","AP766",13
"T5","2002-06-14","AP106",361
"T3","2017-07-17","AP276",19
"T28","2014-02-15","AP834",15
"T32","2015-05-28","AP154",1
"T17","2012-05-10","AP450",80
"T21","1994-12-06","AP859",108
"T44","2010-10-08","AP532",16
"T48","2019-12-13","AP428",39
"T31","2002-07-14","AP615",19
"T27","1992-06-02","AP420",63
"T34","2008-06-18","AP115",6
"T10","2017-08-29","AP751",37
"T18","2004-10-08","AP959",10
"T15","1997-05-13","AP908",82
"T44","2001-11-09","AP34",30
"T16","2005-06-23","AP236",74
"T17","2008-06-18","AP704",52
"T4","2013-01-24","AP852",95
"T26","1994-01-25","AP871",1
"T14","2020-11-01","AP181",94
"T12","2004-04-26","AP373",73
"T2","2000-12-24","AP424",68
"T4","2015-03-12","AP548",17
"T12","2001-05-24","AP900",40
"T44","1990-06-06","AP204",12
"T35","2007-03-11","AP536",38
"T18","2018-10-14","AP131",79
"T8","2003-03-24","AP785",33
"T36","2013-07-24","AP645",1
"T6","2016-12-14","AP665",12
"T41","2002-05-31","AP642",80
"T2","2014-06-29","AP407",20
"T8","2008-12-06","AP994",2
"T18","2013-04-12","AP220",32
"T41","2009-11-18","AP520",73
"T44","2020-10-28","AP827",34
"T29","2016-02-13","AP243",40
"T24","2005-06-02","AP89",89
"T18","2012-07-21","AP327",47
"T4","1992-07-17","AP895",10
"T23","1997-02-02","AP555",25
"T39","2016-02-17","AP464",65
"T31","2011-01-16","AP607",54
"T38","1990-09-01","AP973",17
"T27","2011-10-15","AP818",293
"T5","2019-02-28","AP256",2
"T22","1999-11-12","AP486",22
"T5","2006-12-31","AP280",92
"T35","2016-09-10","AP924",53
"T45","2012-05-07","AP129",12
"T23","2001-04-24","AP19",70
"T10","2018-06-25","AP938",9
"T27","2008-02-22","AP616",46
"T47","1994-03-30","AP428",1
"T25","1998-08-10","AP334",53
"T14","2014-11-29","AP342",11
"T4","1993-10-09","AP615",92
"T21","2010-09-11","AP636",42
"T43","2005-09-26","AP991",102
"T24","2008-06-15","AP932",15
"T44","2014-08-02","AP47",71
"T34","2009-01-31","AP403",80
"T31","2002-10-05","AP785",43
"T28","2004-02-12","AP1000",41
"T31","2015-12-12","AP938",17
"T47","2009-02-09","AP89",132
"T42","2014-05-31","AP797",27
"T10","1996-12-12","AP433",14
"T12","1995-07-05","AP647",34
"T15","2019-05-07","AP578",11
"T37","2018-02-12","AP761",32
"T36","1991-10-02","AP886",31
"T32","2014-03-05","AP915",76
"T2","1996-02-06","AP465",93
"T20","2015-10-10","AP65",32
"T46","1990-07-19","AP171",88
"T43","2008-04-10","AP392",23
"T10","1993-09-16","AP899",18
"T8","2008-10-07","AP649",95
"T22","1995-03-09","AP137",36
"T46","2013-07-06","AP939",20
"T8","1993-09-04","AP200",148
"T10","2015-11-23","AP40",126
"T17","2018-04-22","AP483",26
"T13","2001-10-12","AP531",97
"T50","2020-03-18","AP857",71
"T4","2020-04-10","AP426",41
"T16","2007-10-01","AP398",74
"T50","2007-12-29","AP236",20
"T17","1994-02-02","AP954",18
"T41","1995-01-09","AP122",37
"T40","2013-10-10","AP5",194
"T9","2014-01-31","AP611",3
"T7","2006-01-28","AP95",44
"T38","2007-12-13","AP912",57
"T39","1993-05-18","AP606",10
"T24","2011-01-12","AP416",88
"T46","2010-06-16","AP582",4
"T2","2016-03-22","AP913",6
"T49","2011-09-12","AP524",15
"T2","2001-12-06","AP796",10
"T20","2008-10-13","AP810",26
"T18","1997-06-06","AP683",269
"T41","1990-01-29","AP242",17
"T10","2000-04-23","AP869",25
"T26","2019-09-20","AP664",16
"T26","2014-09-11","AP565",21
"T23","2005-03-30","AP398",132
"T11","1994-02-22","AP10",4
"T12","2018-07-06","AP325",2
"T2","2010-04-22","AP544",39
"T21","2016-12-24","AP810",46
"T21","2007-07-13","AP588",22
"T3","2014-05-05","AP926",19
"T46","2017-07-23","AP904",148
"T20","2001-05-07","AP462",22
"T28","1994-05-27","AP168",31
"T42","1990-12-15","AP54",28
"T6","2005-06-15","AP7",93
"T36","2006-08-23","AP40",93
"T21","2006-12-01","AP678",1
"T26","1996-03-27","AP935",23
"T45","2014-05-22","AP847",5
"T7","2000-11-12","AP168",31
"T29","2017-01-16","AP362",134
"T27","2000-06-05","AP451",33
"T10","2018-09-25","AP944",22
"T8","2016-09-23","AP580",101
"T8","2020-12-12","AP556",62
"T22","2019-11-13","AP559",7
"T34","2001-07-16","AP321",24
"T2","1994-02-13","AP229",15
"T13","2002-07-24","AP934",43
"T14","2013-09-06","AP524",33
"T39","2009-02-22","AP474",101
"T11","2003-03-19","AP506",101
"T15","1991-06-25","AP211",50
"T16","2019-05-28","AP282",24
"T29","2019-09-10","AP52",39
"T12","2017-02-17","AP483",24
"T24","2003-08-14","AP888",153
"T50","2017-01-28","AP566",100
"T43","2017-01-19","AP531",20
"T48","2002-06-04","AP628",58
"T41","2015-03-21","AP290",31
"T37","2009-08-23","AP38",24
"T33","2009-12-06","AP544",73
"T28","1997-12-17","AP665",4
"T21","2008-05-02","AP168",34
"T28","2010-09-20","AP125",29
"T6","2003-01-10","AP744",40
"T4","1993-02-04","AP565",9
"T4","2001-03-13","AP214",45
"T32","2005-04-11","AP785",6
"T36","1990-06-10","AP104",22
"T5","1996-07-12","AP467",56
"T45","2013-06-09","AP818",76
"T32","2006-10-16","AP871",23
"T5","2010-06-02","AP555",7
"T11","2006-11-22","AP997",25
"T48","2009-04-03","AP464",153
"T46","2012-09-06","AP614",28
"T31","2006-10-30","AP244",15
"T32","2002-02-10","AP763",3
"T34","1994-09-13","AP823",15
"T22","2019-09-03","AP566",1
"T34","2009-03-28","AP296",63
"T48","1994-06-17","AP872",37
"T50","1996-11-04","AP126",114
"T13","1990-03-15","AP991",64
"T1","2008-07-01","AP566",66
"T38","2019-12-20","AP997",13
"T23","2014-06-11","AP472",36
"T6","2003-10-03","AP898",61
"T40","2004-12-17","AP653",84
"T29","1992-07-02","AP566",99
"T5","2007-08-30","AP197",8
"T13","2006-08-31","AP627",83
"T46","2008-02-21","AP753",11
"T33","2005-11-08","AP446",173
"T17","2011-09-25","AP664",25
"T48","2016-11-04","AP598",71
"T18","1995-03-14","AP76",26
"T31","2009-10-26","AP985",228
"T34","2008-03-12","AP880",4
"T14","2017-11-23","AP315",55
"T7","2006-02-04","AP32",26
"T45","2020-08-16","AP789",68
"T35","2008-06-19","AP561",27
"T21","1995-03-29","AP149",6
"T33","1999-09-22","AP113",1
"T19","2007-03-06","AP560",51
"T29","2006-07-17","AP296",153
"T20","2020-12-17","AP360",46
"T20","2003-04-11","AP236",50
"T32","2015-06-11","AP538",134
"T4","2014-06-29","AP697",85
"T30","2018-08-05","AP615",90
"T15","2008-12-28","AP700",26
"T5","2018-06-09","AP33",94
"T31","1995-08-08","AP226",37
"T15","2001-01-01","AP553",51
"T34","1998-02-02","AP2",76
"T33","2020-08-12","AP102",19
"T46","2010-02-28","AP36",35
"T26","2014-01-16","AP800",16
"T16","1992-02-15","AP243",10
"T14","2012-12-28","AP339",4
"T32","2011-11-09","AP912",66
"T31","1999-12-25","AP592",18
"T24","2010-12-12","AP909",9
"T49","2013-06-15","AP912",23
"T48","2002-01-17","AP625",62
"T5","2013-06-29","AP884",244
"T34","2007-04-28","AP895",7
"T32","2009-09-17","AP105",225
"T18","1994-09-26","AP531",108
"T44","1990-12-09","AP561",14
"T31","1994-08-24","AP292",20
"T28","1991-09-11","AP90",15
"T15","1997-04-15","AP498",100
"T20","1992-04-13","AP383",47
"T22","1992-09-11","AP738",17
"T47","1999-07-05","AP157",88
"T20","1991-02-10","AP476",1
"T29","1993-01-19","AP653",22
"T50","2013-10-15","AP732",52
"T12","2016-11-28","AP442",25
"T24","2013-05-13","AP693",132
"T20","2002-07-25","AP973",19
"T12","1992-03-31","AP72",29
"T31","2018-02-18","AP206",129
"T48","1997-10-28","AP974",61
"T11","2011-03-16","AP871",50
"T18","2009-01-28","AP123",113
"T50","2020-08-14","AP406",79
"T30","1995-03-20","AP824",3
"T33","2013-06-10","AP320",120
"T26","2007-01-14","AP67",41
"T30","2019-08-30","AP245",17
"T5","2014-07-14","AP780",78
"T27","2010-02-02","AP762",77
"T26","1991-05-05","AP384",323
"T42","2003-06-07","AP764",11
"T8","1991-05-31","AP308",157
"T1","2000-10-18","AP876",53
"T38","2014-01-21","AP526",3
"T9","2011-06-13","AP909",7
"T15","2013-12-31","AP366",28
"T24","2011-03-08","AP700",29
"T44","2005-02-01","AP906",32
"T25","1994-07-22","AP249",6
"T19","2009-02-08","AP332",8
"T38","2007-05-29","AP654",20
"T42","1993-06-01","AP567",3
"T7","2018-02-04","AP384",7
"T49","2018-09-08","AP832",53
"T44","2004-07-11","AP28",5
"T50","2017-12-18","AP264",177
"T6","2008-03-09","AP847",13
"T18","1991-01-12","AP350",16
"T43","2007-04-11","AP242",2
"T34","1990-08-17","AP674",6
"T38","2018-03-07","AP720",36
"T5","1996-10-16","AP420",48
"T1","1990-01-19","AP803",18
"T22","2016-02-20","AP972",17
"T17","1995-06-10","AP415",12
"T12","2003-10-23","AP423",40
"T7","2008-06-29","AP334",65
"T33","1995-07-21","AP399",37
"T9","2005-06-20","AP341",62
"T16","1992-11-25","AP445",49
"T32","1990-05-05","AP242",17
"T39","2001-12-19","AP529",113
"T41","2013-10-13","AP139",36
"T24","2002-10-28","AP157",127
"T3","2005-07-15","AP866",4
"T37","2004-08-01","AP504",61
"T12","2002-04-01","AP596",38
"T31","2016-05-11","AP432",99
"T34","1990-12-20","AP30",7
"T16","2018-06-15","AP246",37
"T40","2001-09-06","AP130",28
"T27","2011-04-19","AP494",78
"T15","2017-07-16","AP132",24
"T39","2013-09-04","AP472",52
"T18","2010-04-22","AP299",28
"T14","2003-06-24","AP519",54
"T35","1993-04-21","AP104",1
"T34","1990-10-18","AP901",229
"T46","2008-05-07","AP209",231
"T40","2019-06-17","AP697",26
"T43","1994-10-12","AP755",19
"T6","2017-06-03","AP294",43
"T10","2015-10-05","AP438",141
"T7","2010-08-21","AP538",44
"T40","2005-01-16","AP594",4
"T42","2019-03-26","AP497",21
"T18","2004-08-26","AP212",56
"T42","2012-01-31","AP734",47
"T16","1995-03-08","AP435",28
"T44","1996-12-09","AP833",6
"T45","1992-03-07","AP639",5
"T31","1991-08-05","AP244",8
"T23","2015-06-03","AP61",2
"T2","2020-08-08","AP264",247
