"nome","citta","nazione","codice"
"'Fort McMurray Airport'","'Fort Mcmurray'","'Canada'","'YMM'"
"'Moosonee Airport'","'Moosonee'","'Canada'","'YMO'"
"'Maniwaki Airport'","'Maniwaki'","'Canada'","'YMW'"
"'Montreal International (Mirabel) Airport'","'Montreal'","'Canada'","'YMX'"
"'Natashquan Airport'","'Natashquan'","'Canada'","'YNA'"
"'Ottawa / Gatineau Airport'","'Gatineau'","'Canada'","'YND'"
"'Matagami Airport'","'Matagami'","'Canada'","'YNM'"
"'Old Crow Airport'","'Old Crow'","'Canada'","'YOC'"
"'CFB Cold Lake'","'Cold Lake'","'Canada'","'YOD'"
"'High Level Airport'","'High Level'","'Canada'","'YOJ'"
"'Ottawa Macdonald-Cartier International Airport'","'Ottawa'","'Canada'","'YOW'"
"'Prince Albert Glass Field'","'Prince Albert'","'Canada'","'YPA'"
"'Peace River Airport'","'Peace River'","'Canada'","'YPE'"
"'Southport Airport'","'Portage-la-prairie'","'Canada'","'YPG'"
"'Pickle Lake Airport'","'Pickle Lake'","'Canada'","'YPL'"
"'Port Menier Airport'","'Port Menier'","'Canada'","'YPN'"
"'Peterborough Airport'","'Peterborough'","'Canada'","'YPQ'"
"'Prince Rupert Airport'","'Prince Pupert'","'Canada'","'YPR'"
"'Fort Chipewyan Airport'","'Fort Chipewyan'","'Canada'","'YPY'"
"'Muskoka Airport'","'Muskoka'","'Canada'","'YQA'"
"'Quebec Jean Lesage International Airport'","'Quebec'","'Canada'","'YQB'"
"'Red Deer Regional Airport'","'Red Deer Industrial'","'Canada'","'YQF'"
"'Windsor Airport'","'Windsor'","'Canada'","'YQG'"
"'Watson Lake Airport'","'Watson Lake'","'Canada'","'YQH'"
"'Kenora Airport'","'Kenora'","'Canada'","'YQK'"
"'Lethbridge County Airport'","'Lethbridge'","'Canada'","'YQL'"
"'Greater Moncton International Airport'","'Moncton'","'Canada'","'YQM'"
"'Comox Airport'","'Comox'","'Canada'","'YQQ'"
"'Regina International Airport'","'Regina'","'Canada'","'YQR'"
"'Thunder Bay Airport'","'Thunder Bay'","'Canada'","'YQT'"
"'Grande Prairie Airport'","'Grande Prairie'","'Canada'","'YQU'"
"'Yorkton Municipal Airport'","'Yorkton'","'Canada'","'YQV'"
"'North Battleford Airport'","'North Battleford'","'Canada'","'YQW'"
"'Gander International Airport'","'Gander'","'Canada'","'YQX'"
"'Sydney / J.A. Douglas McCurdy Airport'","'Sydney'","'Canada'","'YQY'"
"'Quesnel Airport'","'Quesnel'","'Canada'","'YQZ'"
"'Resolute Bay Airport'","'Resolute'","'Canada'","'YRB'"
"'Rivière-du-Loup Airport'","'Riviere Du Loup'","'Canada'","'YRI'"
"'Roberval Airport'","'Roberval'","'Canada'","'YRJ'"
"'Rocky Mountain House Airport'","'Rocky Mountain House'","'Canada'","'YRM'"
"'Rankin Inlet Airport'","'Rankin Inlet'","'Canada'","'YRT'"
"'Sudbury Airport'","'Sudbury'","'Canada'","'YSB'"
"'Sherbrooke Airport'","'Sherbrooke'","'Canada'","'YSC'"
"'Saint John Airport'","'St. John'","'Canada'","'YSJ'"
"'Fort Smith Airport'","'Fort Smith'","'Canada'","'YSM'"
"'Nanisivik Airport'","'Nanisivik'","'Canada'","'YSR'"
"'Summerside Airport'","'Summerside'","'Canada'","'YSU'"
"'Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport'","'Sachs Harbour'","'Canada'","'YSY'"
"'Cape Dorset Airport'","'Cape Dorset'","'Canada'","'YTE'"
"'Thompson Airport'","'Thompson'","'Canada'","'YTH'"
"'CFB Trenton'","'Trenton'","'Canada'","'YTR'"
"'Timmins/Victor M. Power'","'Timmins'","'Canada'","'YTS'"
"'Billy Bishop Toronto City Centre Airport'","'Toronto'","'Canada'","'YTZ'"
"'Tuktoyaktuk Airport'","'Tuktoyaktuk'","'Canada'","'YUB'"
"'Montreal / Pierre Elliott Trudeau International Airport'","'Montreal'","'Canada'","'YUL'"
"'Repulse Bay Airport'","'Repulse Bay'","'Canada'","'YUT'"
"'Hall Beach Airport'","'Hall Beach'","'Canada'","'YUX'"
"'Rouyn Noranda Airport'","'Rouyn'","'Canada'","'YUY'"
"'La Ronge Airport'","'La Ronge'","'Canada'","'YVC'"
"'Vermilion Airport'","'Vermillion'","'Canada'","'YVG'"
"'Qikiqtarjuaq Airport'","'Broughton Island'","'Canada'","'YVM'"
"'Val-d\'Or Airport'","'Val D\'or'","'Canada'","'YVO'"
"'Kuujjuaq Airport'","'Quujjuaq'","'Canada'","'YVP'"
"'Norman Wells Airport'","'Norman Wells'","'Canada'","'YVQ'"
"'Vancouver International Airport'","'Vancouver'","'Canada'","'YVR'"
"'Buffalo Narrows Airport'","'Buffalo Narrows'","'Canada'","'YVT'"
"'Wiarton Airport'","'Wiarton'","'Canada'","'YVV'"
"'Petawawa Airport'","'Petawawa'","'Canada'","'YWA'"
"'Winnipeg / James Armstrong Richardson International Airport'","'Winnipeg'","'Canada'","'YWG'"
"'Wabush Airport'","'Wabush'","'Canada'","'YWK'"
"'Williams Lake Airport'","'Williams Lake'","'Canada'","'YWL'"
"'Wrigley Airport'","'Wrigley'","'Canada'","'YWY'"
"'Cranbrook/Canadian Rockies International Airport'","'Cranbrook'","'Canada'","'YXC'"
"'Edmonton City Centre (Blatchford Field) Airport'","'Edmonton'","'Canada'","'YXD'"
"'Saskatoon John G. Diefenbaker International Airport'","'Saskatoon'","'Canada'","'YXE'"
"'Medicine Hat Airport'","'Medicine Hat'","'Canada'","'YXH'"
"'Fort St John Airport'","'Fort Saint John'","'Canada'","'YXJ'"
"'Sioux Lookout Airport'","'Sioux Lookout'","'Canada'","'YXL'"
"'Pangnirtung Airport'","'Pangnirtung'","'Canada'","'YXP'"
"'Earlton (Timiskaming Regional) Airport'","'Earlton'","'Canada'","'YXR'"
"'Prince George Airport'","'Prince George'","'Canada'","'YXS'"
"'Northwest Regional Airport Terrace-Kitimat'","'Terrace'","'Canada'","'YXT'"
"'London Airport'","'London'","'Canada'","'YXU'"
"'Abbotsford Airport'","'Abbotsford'","'Canada'","'YXX'"
"'Whitehorse / Erik Nielsen International Airport'","'Whitehorse'","'Canada'","'YXY'"
"'North Bay Jack Garland Airport'","'North Bay'","'Canada'","'YYB'"
"'Calgary International Airport'","'Calgary'","'Canada'","'YYC'"
"'Smithers Airport'","'Smithers'","'Canada'","'YYD'"
"'Fort Nelson Airport'","'Fort Nelson'","'Canada'","'YYE'"
"'Penticton Airport'","'Penticton'","'Canada'","'YYF'"
"'Charlottetown Airport'","'Charlottetown'","'Canada'","'YYG'"
"'Taloyoak Airport'","'Spence Bay'","'Canada'","'YYH'"
"'Victoria International Airport'","'Victoria'","'Canada'","'YYJ'"
"'Lynn Lake Airport'","'Lynn Lake'","'Canada'","'YYL'"
"'Swift Current Airport'","'Swift Current'","'Canada'","'YYN'"
"'Churchill Airport'","'Churchill'","'Canada'","'YYQ'"
"'Goose Bay Airport'","'Goose Bay'","'Canada'","'YYR'"
"'St. John\'s International Airport'","'St. John\'s'","'Canada'","'YYT'"
"'Kapuskasing Airport'","'Kapuskasing'","'Canada'","'YYU'"
"'Armstrong Airport'","'Armstrong'","'Canada'","'YYW'"
"'Mont Joli Airport'","'Mont Joli'","'Canada'","'YYY'"
"'Lester B. Pearson International Airport'","'Toronto'","'Canada'","'YYZ'"
"'Downsview Airport'","'Toronto'","'Canada'","'YZD'"
"'Gore Bay Manitoulin Airport'","'Gore Bay'","'Canada'","'YZE'"
"'Yellowknife Airport'","'Yellowknife'","'Canada'","'YZF'"
"'Slave Lake Airport'","'Slave Lake'","'Canada'","'YZH'"
"'Sandspit Airport'","'Sandspit'","'Canada'","'YZP'"
"'Chris Hadfield Airport'","'Sarnia'","'Canada'","'YZR'"
"'Port Hardy Airport'","'Port Hardy'","'Canada'","'YZT'"
"'Whitecourt Airport'","'Whitecourt'","'Canada'","'YZU'"
"'Sept-Îles Airport'","'Sept-iles'","'Canada'","'YZV'"
"'Teslin Airport'","'Teslin'","'Canada'","'YZW'"
"'CFB Greenwood'","'Greenwood'","'Canada'","'YZX'"
"'Faro Airport'","'Faro'","'Canada'","'ZFA'"
"'Fort Mcpherson Airport'","'Fort Mcpherson'","'Canada'","'ZFM'"
"'Blida Airport'","'Blida'","'Algeria'","'QLD'"
"'Bou Saada Airport'","'Bou Saada'","'Algeria'","'BUJ'"
"'Soummam Airport'","'Bejaja'","'Algeria'","'BJA'"
"'Houari Boumediene Airport'","'Algier'","'Algeria'","'ALG'"
"'Djanet Inedbirene Airport'","'Djanet'","'Algeria'","'DJG'"
"'Illizi Takhamalt Airport'","'Illizi'","'Algeria'","'VVZ'"
"'Aguenar – Hadj Bey Akhamok Airport'","'Tamanrasset'","'Algeria'","'TMR'"
"'Jijel Ferhat Abbas Airport'","'Jijel'","'Algeria'","'GJL'"
"'Mecheria Airport'","'Mecheria'","'Algeria'","'MZW'"
"'Rabah Bitat Airport'","'Annaba'","'Algeria'","'AAE'"
"'Mohamed Boudiaf International Airport'","'Constantine'","'Algeria'","'CZL'"
"'Cheikh Larbi Tébessi Airport'","'Tebessa'","'Algeria'","'TEE'"
"'Hassi R\'Mel Airport'","'Tilrempt'","'Algeria'","'HRM'"
"'Bou Chekif Airport'","'Tiaret'","'Algeria'","'TID'"
"'Tindouf Airport'","'Tindouf'","'Algeria'","'TIN'"
"'Ech Cheliff Airport'","'Ech-cheliff'","'Algeria'","'CFK'"
"'Tafaraoui Airport'","'Oran'","'Algeria'","'TAF'"
"'Zenata – Messali El Hadj Airport'","'Tlemcen'","'Algeria'","'TLM'"
"'Es Senia Airport'","'Oran'","'Algeria'","'ORN'"
"'Sidi Bel Abbes Airport'","'Sidi Bel Abbes'","'Algeria'","'BFW'"
"'Ghriss Airport'","'Ghriss'","'Algeria'","'MUW'"
"'Touat Cheikh Sidi Mohamed Belkebir Airport'","'Adrar'","'Algeria'","'AZR'"
"'Biskra Airport'","'Biskra'","'Algeria'","'BSK'"
"'El Golea Airport'","'El Golea'","'Algeria'","'ELG'"
"'Noumérat - Moufdi Zakaria Airport'","'Ghardaia'","'Algeria'","'GHA'"
"'Oued Irara Airport'","'Hassi Messaoud'","'Algeria'","'HME'"
"'In Salah Airport'","'In Salah'","'Algeria'","'INZ'"
"'Touggourt Sidi Madhi Airport'","'Touggourt'","'Algeria'","'TGR'"
"'Laghouat Airport'","'Laghouat'","'Algeria'","'LOO'"
"'Timimoun Airport'","'Timimoun'","'Algeria'","'TMX'"
"'Ain el Beida Airport'","'Ouargla'","'Algeria'","'OGX'"
"'In Aménas Airport'","'Zarzaitine'","'Algeria'","'IAM'"
"'Cadjehoun Airport'","'Cotonou'","'Benin'","'COO'"
"'Ouagadougou Airport'","'Ouagadougou'","'Burkina Faso'","'OUA'"
"'Bobo Dioulasso Airport'","'Bobo-dioulasso'","'Burkina Faso'","'BOY'"
"'Kotoka International Airport'","'Accra'","'Ghana'","'ACC'"
"'Tamale Airport'","'Tamale'","'Ghana'","'TML'"
"'Sunyani Airport'","'Sunyani'","'Ghana'","'NYI'"
"'Takoradi Airport'","'Takoradi'","'Ghana'","'TKD'"
"'Port Bouet Airport'","'Abidjan'","'Cote d\'Ivoire'","'ABJ'"
"'Bouaké Airport'","'Bouake'","'Cote d\'Ivoire'","'BYK'"
"'Daloa Airport'","'Daloa'","'Cote d\'Ivoire'","'DJO'"
"'Korhogo Airport'","'Korhogo'","'Cote d\'Ivoire'","'HGO'"
"'Man Airport'","'Man'","'Cote d\'Ivoire'","'MJC'"
"'San Pedro Airport'","'San Pedro'","'Cote d\'Ivoire'","'SPY'"
"'Yamoussoukro Airport'","'Yamoussoukro'","'Cote d\'Ivoire'","'ASK'"
"'Nnamdi Azikiwe International Airport'","'Abuja'","'Nigeria'","'ABV'"
"'Akure Airport'","'Akure'","'Nigeria'","'AKR'"
"'Benin Airport'","'Benin'","'Nigeria'","'BNI'"
"'Margaret Ekpo International Airport'","'Calabar'","'Nigeria'","'CBQ'"
"'Akanu Ibiam International Airport'","'Enugu'","'Nigeria'","'ENU'"
"'Ibadan Airport'","'Ibadan'","'Nigeria'","'IBA'"
"'Ilorin International Airport'","'Ilorin'","'Nigeria'","'ILR'"
"'Yakubu Gowon Airport'","'Jos'","'Nigeria'","'JOS'"
"'Kaduna Airport'","'Kaduna'","'Nigeria'","'KAD'"
"'Mallam Aminu International Airport'","'Kano'","'Nigeria'","'KAN'"
"'Maiduguri International Airport'","'Maiduguri'","'Nigeria'","'MIU'"
"'Makurdi Airport'","'Makurdi'","'Nigeria'","'MDI'"
"'Murtala Muhammed International Airport'","'Lagos'","'Nigeria'","'LOS'"
"'Minna Airport'","'Minna'","'Nigeria'","'MXJ'"
"'Port Harcourt International Airport'","'Port Hartcourt'","'Nigeria'","'PHC'"
"'Sadiq Abubakar III International Airport'","'Sokoto'","'Nigeria'","'SKO'"
"'Yola Airport'","'Yola'","'Nigeria'","'YOL'"
"'Zaria Airport'","'Zaria'","'Nigeria'","'ZAR'"
"'Maradi Airport'","'Maradi'","'Niger'","'MFQ'"
"'Diori Hamani International Airport'","'Niamey'","'Niger'","'NIM'"
"'Tahoua Airport'","'Tahoua'","'Niger'","'THZ'"
"'Mano Dayak International Airport'","'Agadez'","'Niger'","'AJY'"
"'Zinder Airport'","'Zinder'","'Niger'","'ZND'"
"'Monastir Habib Bourguiba International Airport'","'Monastir'","'Tunisia'","'MIR'"
"'Tunis Carthage International Airport'","'Tunis'","'Tunisia'","'TUN'"
"'Gafsa Ksar International Airport'","'Gafsa'","'Tunisia'","'GAF'"
"'Gabès Matmata International Airport'","'Gabes'","'Tunisia'","'GAE'"
"'Djerba Zarzis International Airport'","'Djerba'","'Tunisia'","'DJE'"
"'El Borma Airport'","'El Borma'","'Tunisia'","'EBM'"
"'Sfax Thyna International Airport'","'Sfax'","'Tunisia'","'SFA'"
"'Tozeur Nefta International Airport'","'Tozeur'","'Tunisia'","'TOE'"
"'Niamtougou International Airport'","'Niatougou'","'Togo'","'LRL'"
"'Lomé-Tokoin Airport'","'Lome'","'Togo'","'LFW'"
"'Antwerp International Airport (Deurne)'","'Antwerp'","'Belgium'","'ANR'"
"'Brussels Airport'","'Brussels'","'Belgium'","'BRU'"
"'Brussels South Charleroi Airport'","'Charleroi'","'Belgium'","'CRL'"
"'Wevelgem Airport'","'Kortrijk-vevelgem'","'Belgium'","'KJK'"
"'Liège Airport'","'Liege'","'Belgium'","'LGG'"
"'Ostend-Bruges International Airport'","'Ostend'","'Belgium'","'OST'"
"'Zoersel (Oostmalle) Airfield'","'Zoersel'","'Belgium'","'OBL'"
"'Altenburg-Nobitz Airport'","'Altenburg'","'Germany'","'AOC'"
"'Riesa-Göhlis Airport'","'Riesa'","'Germany'","'IES'"
"'Rechlin-Lärz Airport'","'Rechlin-laerz'","'Germany'","'REB'"
"'Schönhagen Airport'","'Schoenhagen'","'Germany'","'QXH'"
"'Barth Airport'","'Barth'","'Germany'","'BBH'"
"'Magdeburg ''City'' Airport'","'Magdeburg'","'Germany'","'ZMG'"
"'Cottbus-Drewitz Airport'","'Cottbus'","'Germany'","'CBU'"
"'Berlin-Schönefeld Airport'","'Berlin'","'Germany'","'SXF'"
"'Dresden Airport'","'Dresden'","'Germany'","'DRS'"
"'Erfurt Airport'","'Erfurt'","'Germany'","'ERF'"
"'Frankfurt am Main Airport'","'Frankfurt'","'Germany'","'FRA'"
"'Münster Osnabrück Airport'","'Munster'","'Germany'","'FMO'"
"'Hamburg Airport'","'Hamburg'","'Germany'","'HAM'"
"'Berlin-Tempelhof International Airport'","'Berlin'","'Germany'","'THF'"
"'Cologne Bonn Airport'","'Cologne'","'Germany'","'CGN'"
"'Düsseldorf Airport'","'Duesseldorf'","'Germany'","'DUS'"
"'Munich Airport'","'Munich'","'Germany'","'MUC'"
"'Nuremberg Airport'","'Nuernberg'","'Germany'","'NUE'"
"'Leipzig/Halle Airport'","'Leipzig'","'Germany'","'LEJ'"
"'Saarbrücken Airport'","'Saarbruecken'","'Germany'","'SCN'"
"'Stuttgart Airport'","'Stuttgart'","'Germany'","'STR'"
"'Berlin-Tegel Airport'","'Berlin'","'Germany'","'TXL'"
"'Hannover Airport'","'Hannover'","'Germany'","'HAJ'"
"'Bremen Airport'","'Bremen'","'Germany'","'BRE'"
"'Frankfurt-Egelsbach Airport'","'Egelsbach'","'Germany'","'QEF'"
"'Frankfurt-Hahn Airport'","'Hahn'","'Germany'","'HHN'"
"'Mannheim-City Airport'","'Mannheim'","'Germany'","'MHG'"
"'Eisenach-Kindel Airport'","'Eisenach'","'Germany'","'EIB'"
"'Siegerland Airport'","'Siegerland'","'Germany'","'SGE'"
"'Hamburg-Finkenwerder Airport'","'Hamburg'","'Germany'","'XFW'"
"'Kiel-Holtenau Airport'","'Kiel'","'Germany'","'KEL'"
"'Lübeck Blankensee Airport'","'Luebeck'","'Germany'","'LBC'"
"'Essen Mulheim Airport'","'Essen'","'Germany'","'ESS'"
"'Bielefeld Airport'","'Bielefeld'","'Germany'","'BFE'"
"'Mönchengladbach Airport'","'Moenchengladbach'","'Germany'","'MGL'"
"'Paderborn Lippstadt Airport'","'Paderborn'","'Germany'","'PAD'"
"'Dortmund Airport'","'Dortmund'","'Germany'","'DTM'"
"'Augsburg Airport'","'Augsburg'","'Germany'","'AGB'"
"'Oberpfaffenhofen Airport'","'Oberpfaffenhofen'","'Germany'","'OBF'"
"'Straubing Airport'","'Straubing'","'Germany'","'RBM'"
"'Friedrichshafen Airport'","'Friedrichshafen'","'Germany'","'FDH'"
"'Schwerin Parchim Airport'","'Parchim'","'Germany'","'SZW'"
"'Bayreuth Airport'","'Bayreuth'","'Germany'","'BYU'"
"'Burg Feuerstein Airport'","'Burg Feuerstein'","'Germany'","'URD'"
"'Hof-Plauen Airport'","'Hof'","'Germany'","'HOQ'"
"'Zweibrücken Airport'","'Zweibruecken'","'Germany'","'ZQW'"
"'Donaueschingen-Villingen Airport'","'Donaueschingen'","'Germany'","'ZQL'"
"'Braunschweig-Wolfsburg Airport'","'Braunschweig'","'Germany'","'BWE'"
"'Kassel-Calden Airport'","'Kassel'","'Germany'","'KSF'"
"'Bremerhaven Airport'","'Bremerhaven'","'Germany'","'BRV'"
"'Emden Airport'","'Emden'","'Germany'","'EME'"
"'Wilhelmshaven-Mariensiel Airport'","'Wilhelmshaven'","'Germany'","'WVN'"
"'Borkum Airport'","'Borkum'","'Germany'","'BMK'"
"'Norderney Airport'","'Norderney'","'Germany'","'NRD'"
"'Flensburg-Schäferhaus Airport'","'Flensburg'","'Germany'","'FLF'"
"'Westerland Sylt Airport'","'Westerland'","'Germany'","'GWT'"
"'Kärdla Airport'","'Kardla'","'Estonia'","'KDL'"
"'Kuressaare Airport'","'Kuressaare'","'Estonia'","'URE'"
"'Pärnu Airport'","'Parnu'","'Estonia'","'EPU'"
"'Lennart Meri Tallinn Airport'","'Tallinn-ulemiste International'","'Estonia'","'TLL'"
"'Tartu Airport'","'Tartu'","'Estonia'","'TAY'"
"'Enontekio Airport'","'Enontekio'","'Finland'","'ENF'"
"'Halli Airport'","'Halli'","'Finland'","'KEV'"
"'Helsinki Malmi Airport'","'Helsinki'","'Finland'","'HEM'"
"'Helsinki Vantaa Airport'","'Helsinki'","'Finland'","'HEL'"
"'Hyvinkää Airfield'","'Hyvinkaa'","'Finland'","'HYV'"
"'Kitee Airport'","'Kitee'","'Finland'","'KTQ'"
"'Ivalo Airport'","'Ivalo'","'Finland'","'IVL'"
"'Joensuu Airport'","'Joensuu'","'Finland'","'JOE'"
"'Jyvaskyla Airport'","'Jyvaskyla'","'Finland'","'JYV'"
"'Kauhava Airport'","'Kauhava'","'Finland'","'KAU'"
"'Kemi-Tornio Airport'","'Kemi'","'Finland'","'KEM'"
"'Kajaani Airport'","'Kajaani'","'Finland'","'KAJ'"
"'Kauhajoki Airport'","'Kauhajoki'","'Finland'","'KHJ'"
"'Kokkola-Pietarsaari Airport'","'Kruunupyy'","'Finland'","'KOK'"
"'Kuusamo Airport'","'Kuusamo'","'Finland'","'KAO'"
"'Kittilä Airport'","'Kittila'","'Finland'","'KTT'"
"'Kuopio Airport'","'Kuopio'","'Finland'","'KUO'"
"'Lahti Vesivehmaa Airport'","'Vesivehmaa'","'Finland'","'QLF'"
"'Lappeenranta Airport'","'Lappeenranta'","'Finland'","'LPP'"
"'Mariehamn Airport'","'Mariehamn'","'Finland'","'MHQ'"
"'Mikkeli Airport'","'Mikkeli'","'Finland'","'MIK'"
"'Oulu Airport'","'Oulu'","'Finland'","'OUL'"
"'Pori Airport'","'Pori'","'Finland'","'POR'"
"'Rovaniemi Airport'","'Rovaniemi'","'Finland'","'RVN'"
"'Savonlinna Airport'","'Savonlinna'","'Finland'","'SVL'"
"'Sodankyla Airport'","'Sodankyla'","'Finland'","'SOT'"
"'Tampere-Pirkkala Airport'","'Tampere'","'Finland'","'TMP'"
"'Turku Airport'","'Turku'","'Finland'","'TKU'"
"'Utti Air Base'","'Utti'","'Finland'","'UTI'"
"'Vaasa Airport'","'Vaasa'","'Finland'","'VAA'"
"'Varkaus Airport'","'Varkaus'","'Finland'","'VRK'"
"'Ylivieska Airfield'","'Ylivieska-raudaskyla'","'Finland'","'YLI'"
"'Belfast International Airport'","'Belfast'","'United Kingdom'","'BFS'"
"'St Angelo Airport'","'Enniskillen'","'United Kingdom'","'ENK'"
"'George Best Belfast City Airport'","'Belfast'","'United Kingdom'","'BHD'"
